title,date
잘모르겠고 공매친이유?,2022.02.07 12:45
이걸 공매치는놈은 머가리가 없는 애들이냐 ㅋㅋ,2022.02.07 12:41
신한 스탠리 용쓴다,2022.02.07 12:38
아무리생각해도 ㅆ고평가,2022.02.07 12:36
69다음 74 다음 뭐겠냐??,2022.02.07 12:33
어어 밀지마라,2022.02.07 12:33
ㅋㅋㅋ 개잡주같누,2022.02.07 12:33
카겜  ms,2022.02.07 12:31
제발 한번만 기회줘 ㅆ고평가잖아,2022.02.07 12:29
얼마에,2022.02.07 12:29
추카 추카,2022.02.07 12:27
Ms스토어  드가기힘듬,2022.02.07 12:26
아 ㅅㅍ뺀다고6만원 한번만와줘,2022.02.07 12:24
보라 코인도 어제 오늘 쭈욱 올라간다 ㅋ,2022.02.07 12:24
보라 가즈아~~!!!,2022.02.07 12:24
카카오 게임즈 이제 ~~~,2022.02.07 12:23
양전 카겜 게임주 순환매 계속 들어오네 ㅋ,2022.02.07 12:21
기어이 빨간불을 맹그네... 믿었다구~!,2022.02.07 12:21
카카오 게임주 곧 오릅니다 ~~~,2022.02.07 12:19
넵튠 급등 이면,2022.02.07 12:18
6만원에 풀공매때렸다,2022.02.07 12:17
넵튠 자회사 급등이네,2022.02.07 12:16
이럴때 판호나오면 얼마나 좋냐,2022.02.07 12:12
11퍼를 올려놓고.. 이걸 말아올려??,2022.02.07 12:09
내가 말했지 암만 공매처봐라고 갈놈은 간다고,2022.02.07 12:09
이딴개잡주가 양전을한다고?,2022.02.07 12:08
공매를 이리 마이 까재끼는데 왜,2022.02.07 12:06
위메이드가 오르면 ~~~,2022.02.07 12:06
오늘 매수 기회  굿~~,2022.02.07 12:05
음봉떠도 쫄지 마라 했다,2022.02.07 12:04
펄어비스는 어이가없네,2022.02.07 12:02
ㅋ ㅋ 손절 가세요!,2022.02.07 12:01
보라 두배올랐다,2022.02.07 12:00
아름다운 조정중~,2022.02.07 12:00
"오딘 개떡상, 코인 개떡상, 우마뾰이 매출 최상위 등극",2022.02.07 12:00
평단,2022.02.07 11:59
ㅅㅂ 11만대에떡락햇는데 올랏다고,2022.02.07 11:57
연매출 1조 달성일건데,2022.02.07 11:57
모간스텐리는 지금빠져도 익절,2022.02.07 11:54
신한 스탠리 VS 기관 개인,2022.02.07 11:49
73000에서 자전거래 하나 ㅋㅋ,2022.02.07 11:47
판교 P2E의 새 주역 '보라 2.0' D-1...여의도 증권가 기대감 'UP',2022.02.07 11:40
지금 내리고 싶어도 못내리고 있잖아,2022.02.07 11:39
3월 24일 던파 모바일 출시 말딸은?????,2022.02.07 11:36
여기 종토방 형님들..ㅋㅋㅋㅋㅋㅋ,2022.02.07 11:29
2월안에 앞자리 바뀐다 ,2022.02.07 11:23
형들 매물대 위에 쌓이는거보이지?,2022.02.07 11:23
이틀간 호재투성이다,2022.02.07 11:19
넥슨지티는 조정이 없냐?,2022.02.07 11:14
오늘 종가 예측?  70000~71000?,2022.02.07 11:05
71000 원 까지 건강한 조정입니다 쫄지마세요,2022.02.07 10:59
외 프로그램 물량? 65000~60000 까지?,2022.02.07 10:58
"형 LG엔솔 30주 버티고 버텨 535,000원에 다 팔고 돌아왔따.",2022.02.07 10:47
오늘 보라 파트너스 데이 아님??,2022.02.07 10:46
한 5%내려야 개미들이 죽는소리하지,2022.02.07 10:44
그냥,2022.02.07 10:43
형이 쫄지마라했다 음봉떠도,2022.02.07 10:41
개미만 열라 사네,2022.02.07 10:38
매수세가 1도 없다,2022.02.07 10:37
불장인데 혼자 잠수하네,2022.02.07 10:35
줄때 먹어라,2022.02.07 10:31
실적발표는2틀 남았구,2022.02.07 10:28
역시나^개같은 쓰레기주는 어쩔수없어. ,2022.02.07 10:22
보라는 오를만큼 올랐다니까,2022.02.07 10:20
75층일 때 팔껄,2022.02.07 10:19
낼 보라 빔쏘냐?,2022.02.07 10:18
공매암만처봐라고 갈놈은 간다,2022.02.07 10:18
넷마블에프앤씨 itam 코인 오늘도 상승!,2022.02.07 10:17
그렇게 카겜이 매력없는 종목인가?,2022.02.07 10:15
오늘 들어왔는데,2022.02.07 10:14
오늘 공매도,2022.02.07 10:12
P2e도 돌아가면서 해먹더만,2022.02.07 10:09
보라코인을 사라,2022.02.07 10:09
■오늘의 핵심포인트 신호■,2022.02.07 10:09
대만오딘 대만 애들만 하겠네 생각,2022.02.07 10:04
모간. 너만 믿는다..!!,2022.02.07 10:02
내 생각엔 주총 끝나면 카겜 주가  방향 나옴,2022.02.07 10:01
오후에 양봉 나겠구만..,2022.02.07 10:00
내가 내시간 써가며 가치주 사라고 안함?,2022.02.07 10:00
컴투스 하이브코인 딱 두개만 해라 ,2022.02.07 09:59
안티들은 조정이란 단어를 몰라,2022.02.07 09:59
카겜 출시날짜 안밟히기로 유명,2022.02.07 09:57
지난주 오른쪽 다 토해낼 기세네,2022.02.07 09:54
ㅋㅋㅋㅋㅋㅋㅋ이정도면 신급이네..,2022.02.07 09:53
카겜 단순게임사가아님 오딘만 p2e,2022.02.07 09:52
위메이드가 저렇게 오르는데..,2022.02.07 09:51
와아 ,2022.02.07 09:51
말딸?,2022.02.07 09:51
보라.... 250% 올랐는데....,2022.02.07 09:47
카뱅은 친구랑께,2022.02.07 09:47
스미싱 환불 불가 ,2022.02.07 09:46
대만오딘?,2022.02.07 09:46
모건이에게 개밀렸네.. 졌네 기관놈들,2022.02.07 09:45
C이 바 외국인 단타 ㅅver3끼들,2022.02.07 09:45
ㅎㅎ추매기회오네,2022.02.07 09:42
자 이번엔 롱잡자,2022.02.07 09:41
ㅋㅋㅋㅋ개잡주,2022.02.07 09:41
힌트드림 3분기 엔씨보다,2022.02.07 09:36
바닥 ~~~~~~~~~~~,2022.02.07 09:36
엄청 요동치네,2022.02.07 09:36
공매도  많아  ,2022.02.07 09:34
카뱅 살려야 한당께,2022.02.07 09:34
숏커버 끝,2022.02.07 09:31
수젠텍 오늘 급등,2022.02.07 09:26
하이브 코인이나 싸라 ,2022.02.07 09:26
열라게 파는데 올라가냐 ? 이거 뭐냐 ?,2022.02.07 09:25
준비된자 카겜,2022.02.07 09:23
컴투스나 컴홀 찔려라 급등전이다 ,2022.02.07 09:21
보라보라,2022.02.07 09:20
초반에 ,2022.02.07 09:19
오딘보다 100원  더 질러라..!!,2022.02.07 09:18
이제 또 먹고 튈 준비~~~~!!,2022.02.07 09:17
이제 또 먹고 살 준비~~~~!!,2022.02.07 09:19
혼란한 시국과 혼돈의 주식장,2022.02.07 09:17
거버넌스가 쓰레기인 기업 (feat.물적분할 및 자회사 상장),2022.02.07 09:17
대만오딘 p2e면 전재산 몰빵,2022.02.07 09:16
주작은 애널이 한다,2022.02.07 09:14
나는 펄어비스나 떨구는거?으면,2022.02.07 09:14
리니지w 1위 신경 안쓴다,2022.02.07 09:10
아직아니야,2022.02.07 09:10
보라 코인 산다 빔 쏠듯 ㅋㅋ,2022.02.07 09:10
내릴수가 없지,2022.02.07 09:10
내말대로 딱되지?? 신규매수예정자는 음봉때 매수 기존은 쫄지마라,2022.02.07 09:10
보라코인 뭔가있다.,2022.02.07 09:08
공매도 진군하라..!!,2022.02.07 09:07
지난주 하루 매출1위 반짝 ㅋ,2022.02.07 09:05
음봉떠도 쫄지마라했다 형 주식 잘한다고,2022.02.07 09:05
728숏은 웃고있다,2022.02.07 09:05
내린다,2022.02.07 09:03
빠지네,2022.02.07 09:03
오늘,2022.02.07 08:59
거래량 288만에 11프로 상승,2022.02.07 08:58
카겜 6만중반 보라 800원이 1600원 됨,2022.02.07 08:57
보라 코인이나 사야겠다,2022.02.07 08:55
유가오르고 코로나발병율 증가로,2022.02.07 08:52
분위기 좋고 오늘은 8만돌파,2022.02.07 08:49
비나이다 비나이다,2022.02.07 08:36
일희일비하지말고 즐겨라,2022.02.07 08:23
내일 카카오 게임즈 실적발표인데,2022.02.07 08:17
당하지마세요 대만오딘 출시임박입니다.,2022.02.07 08:07
게임출시작,2022.02.07 08:04
♥ 주식은 위메이드. 코인은 보라.,2022.02.07 08:03
티어라,2022.02.07 07:49
인위적 1위 하루 만들어  기사  뛰우고 주가조작  ~!!!?,2022.02.07 07:46
개미들 유혹하는 쓰레기 기사 내고 주가띄우기..,2022.02.07 07:39
와...아직도 안티가 많네...,2022.02.07 07:18
국내 구글플레이 스토어 아직도 1위 유지중인가요?,2022.02.07 07:03
아~~~ 기분이편안하다~,2022.02.07 07:01
정치병자들 보이네 725 숏 푸근해졌다,2022.02.07 05:55
애들아  보라 싸다,2022.02.07 05:23
진쨔가나타났다 ,2022.02.07 05:04
비나이다 비나이다,2022.02.07 01:00
이번 한번만 믿어본다  물적분할 금지  등등,2022.02.07 00:57
이번 한번만 믿어본다  물적분할 금지  등등,2022.02.07 02:11
거버넌스가 쓰레기인 기업 (feat.물적분할 및 자회사 상장),2022.02.07 00:53
찢재명 감옥행 인듯 ,2022.02.06 23:47
찢재명 감옥행 인듯 ,2022.02.07 02:14
찢재명이 얼마나 무식한지 알려줘??(클릭 안 할 수 없을걸?)ㅋㅋ,2022.02.06 22:35
2월 MSCI 라밸런싱 일정 및 편입 편출 예상,2022.02.06 22:28
내일장 추측,2022.02.06 22:28
누굴 찍어야하는지 잘 봐,2022.02.06 22:09
대만게임 스트리머 유나 오딘 한섭 오전 3시간방송 오후 7시간 48분방송,2022.02.06 21:28
내일은떡락하겟군찬티들,2022.02.06 20:50
호재가 엄청 나네요 카겜 화이팅,2022.02.06 20:43
장투하면 웃을 수 있다 생각해요,2022.02.06 20:33
나라별 코로나 생계지원금 필수확인.허경영외엔 답이없다.,2022.02.06 19:50
평단 11만원입니다 탈출 가능성 있나요?,2022.02.06 19:45
아직도 찢재명 지지자들이 있는거 보면 신기햐,2022.02.06 19:43
지금 게임사 대규묘 인수 투자,2022.02.06 19:29
형이 다시왔다,2022.02.06 19:25
"보라, 갈라코인 둘 다 떡상중",2022.02.06 18:22
멋지다 계속 날아갈듯 고점 오면 잘 털고나가라,2022.02.06 18:21
Ir결과는 보구 매도하는겨,2022.02.06 18:11
트라하 인피니티 2월 9일 정식 출시 ,2022.02.06 18:05
웃기는 바람잽이들,2022.02.06 18:00
보라코인을 카겜과 동일시하지~,2022.02.06 17:51
말이 필요 없음 ~~~,2022.02.06 17:46
웃기는 바람잽이들,2022.02.06 17:30
가상화폐는 결국 문화 게임 사회 전반에,2022.02.06 17:19
이번주는 단일화기간,2022.02.06 17:13
3일뒤 ir후에 기관들 오지게 들어올거다 ㅋㅋ,2022.02.06 17:00
카카오게임즈 증권가 실적전망,2022.02.06 16:50
그럼 보라코인을 사지 왜 이걸 사냐,2022.02.06 16:43
한국시장...결코 나쁘지않다!!!,2022.02.06 16:32
메타가 가야한다,2022.02.06 16:06
내일 우선 우상향은 거의 확정이네,2022.02.06 15:55
오딘 잠깐 1위고 쭉 2위네 ㅋㅋㅋㅋㅋㅋ,2022.02.06 15:27
사우디국부펀드가 1조투자했어,2022.02.06 15:26
대선 누가되도 주식판은 좋아지것다.,2022.02.06 15:21
뉴스좀봐라,2022.02.06 15:15
바닥에서  외인기관사고 개인은 팔면서 거래터진 장대양봉은 뭐다?,2022.02.06 14:34
나라별 코로나 생계지원금 필수확인.허경영외엔 답이없다.,2022.02.06 13:46
이러니 저러니 해도 카겜은 성장하고 ,2022.02.06 13:29
보라코인 200 ->1600 8배 ㄷㄷㄷ,2022.02.06 12:47
윤석열이 대통령이 된 G7회의를 상상해보자,2022.02.06 12:36
검 경 금감원  주가조작 수사착수~,2022.02.06 12:30
보라코인 사라,2022.02.06 12:18
이번주 수요일 실적발표 및 기업설명회.,2022.02.06 11:38
숏은 계속치면 되는 데스웅,2022.02.06 11:14
재료 무시하냐 매물치워라,2022.02.06 10:53
펄어비스나떡락해라,2022.02.06 10:39
코큰넘 개넘,2022.02.06 10:31
카카오게임즈 지분구조 프렌즈게임즈,2022.02.06 10:29
웨이투빗+카카오프렌즈 합병 보라코인,2022.02.06 10:24
보라코인 1600원 뚫었네 실화냐 ㄷㄷ,2022.02.06 10:17
올해부터 라이온하트연결재무일 가능성 염두,2022.02.06 10:03
보라 심상치 않다,2022.02.06 09:54
아직 배고프다,2022.02.06 09:30
리니지 오딘 쓸어버릴 초대형 모바일,2022.02.06 09:03
던파 모바일 출시 임박 새로운 대장이,2022.02.06 09:00
던파 모바일 언제 나오누 ,2022.02.06 08:35
국내 구글플레이 스토어 아직도 1위 유지중인가요?,2022.02.06 08:25
웃기는 바람잽이들,2022.02.06 08:15
월요일 24만주 추가상장...,2022.02.06 08:10
2월 MSCI 라밸런싱 일정 및 편입 편출 예상,2022.02.06 00:15
깨스통대폭발 우마무스메의 무서운 과금설명,2022.02.05 23:32
실질적인 대선 투표해봅시다.8시간동안 추천/비추 통계냅니다.,2022.02.05 23:18
달은 찢긴다.,2022.02.05 22:49
카겜 줍줍한사람 은근 많더라,2022.02.05 22:37
동일이 사또가 드슬 대리뽑기한답시고 이틀 다 털렸네 ㅋ,2022.02.05 22:14
구글  1위  1일천하,2022.02.05 21:56
[삭제된 게시물의 답글]물이 마렵구나,2022.02.05 21:53
와.. 보라 개오르네,2022.02.05 20:51
린W는 BJ가 엄청 많아서 따라잡기 힘듬,2022.02.05 20:14
자꾸만 하루 매출1위 이야기 하는데..,2022.02.05 20:12
보라코인상승?,2022.02.05 20:02
보라코인 1600원 뚫나?,2022.02.05 20:01
보라코인사라고 이틀전부터 얘기했다.,2022.02.05 19:57
아니 오딘대만3월달이면,2022.02.05 19:53
구글 하루1위 ㅋㅋ,2022.02.05 19:52
트라하 인피니티가 다음주 출시라던데 ,2022.02.05 19:09
정보 하나,2022.02.05 18:32
매출순위 사이트,2022.02.05 18:22
114000원이 본전인데 ,2022.02.05 18:03
보라코인 1500원 뚫었다 ,2022.02.05 17:30
보라코인 현재 1490원 ,2022.02.05 17:29
상한가 상한가 신나는노래,2022.02.05 17:26
대만 오픈이라고 하지마라.,2022.02.05 17:26
보라는 2.8일에 단타치고 빠져야지,2022.02.05 17:07
보라 코인이 급등하고 있다 ,2022.02.05 16:54
대만 오딘 게임스트리머 유나 한섭 라이브방송중,2022.02.05 16:09
오딘 대만 출시일,2022.02.05 15:59
오딘 대만 출시일 모르는분 많으시네요,2022.02.05 15:50
외국인  기관 쌍끌이 매수 갑자기  돌변,2022.02.05 15:06
오딘사전예약은 하는데 출시일은,2022.02.05 14:39
캐릭 시세 대 폭락하노 ㅠㅜ,2022.02.05 14:39
오딘대만출시가근데언제임?,2022.02.05 14:34
얘들아....이거 내 망상인데..,2022.02.05 14:30
투데이이즈 사이트 체험해보세요,2022.02.05 14:13
펄어비스 도깨비처럼 큰거 한방 내줘라,2022.02.05 13:47
지금은 딱 2가지 ~~~,2022.02.05 13:40
보라코인을 기반한 P2E?NFT사업을,2022.02.05 13:35
카카오게임즈,2022.02.05 13:35
코인 불장의 의미는 P2E NFT의 서막인가,2022.02.05 13:31
■■핵심 주간증시일정(2월7일~11일)■,2022.02.05 13:25
보라 주말동안 1500뚫겠는데?,2022.02.05 13:20
엔씨 빠는 애들 엔씨 절대 팔지말고 카겜 넘어올 생각하지마라,2022.02.05 12:04
오딘 1위 재탈환 성공,2022.02.05 11:46
거짓말 하면 엉덩이에 뿔나요 ,2022.02.05 12:12
오딘 글로벌 실적 창출,2022.02.05 11:26
아니 다 장애인들인가?,2022.02.05 11:24
업데이트한다네요! 아틀라스 공성전,2022.02.05 11:05
♥ 주식은 위메이드. 코인은 보라.,2022.02.05 11:02
오딘 매출1위 1일 천하도 아니고,2022.02.05 10:48
 5월쯤 사자가슴ipoㅋㅋㅋ 하한가 기대해~ㅋㅋㅋㅋㅋ,2022.02.05 10:47
보라 카겜은 깐부,2022.02.05 10:35
그 많은 현금 어디다 쓸겁니까?,2022.02.05 10:16
펄어비스나 나락가야됨,2022.02.05 10:09
코인 시장도 바닥 찍은듯 겁나 오르네 ,2022.02.05 10:06
와..보라 1440...ㅎㄷㄷ,2022.02.05 09:44
보라 2.0,2022.02.05 09:41
보라로가자,2022.02.05 09:37
