,Unnamed: 0,날짜,기사제목
241,1, 2021.09.07 11:37,"SC제일銀, 넷마블과 ‘마블 퓨처 레볼루션' 연계 이벤트"
242,2, 2021.09.07 08:22,"[클릭 e종목] ""넷마블, 강력한 한방 없지만…3Q부터 이익 정상화 시..."
243,3, 2021.09.07 08:16,"넷마블, 신작·비용효율에 3Q부터 실적 정상화-현대차"
244,4, 2021.09.07 08:01,"[게임업계 상반기 실적] ② 더블유게임즈, 영업이익 3위로 도약...넷..."
245,5, 2021.09.06 08:02,"[게임업계 상반기 실적] ① 넷마블, 엔씨소프트 제치고 매출 1위 올라"
246,6, 2021.09.01 15:39,넷마블 신작 ‘마블 퓨처 레볼루션’ 초반 ‘순항’…3Q 실적 ‘청신호’
247,7, 2021.09.01 10:28,"""마블 퓨처 레볼루션 순조로운 출발…넷마블 성장 가시화"""
248,8, 2021.08.31 15:45,넥슨 이어 넷마블도 ‘메타버스’ 신사업 강화
249,9, 2021.08.31 10:35,"넷마블에프앤씨, 자회사 ‘메타버스엔터테인먼트’ 설립"
250,10, 2021.08.31 10:13,"넷마블, 메타버스 사업 본격 진출…가상 아이돌 나온다"
251,11, 2021.08.31 09:55,넷마블 ‘메타버스’ 시동..‘메타버스엔터테인먼트’ 설립
252,12, 2021.08.31 09:52,넷마블 '가상 아이돌' 나온다…'메타버스엔터' 설립
253,13, 2021.08.31 15:10,로지 열풍에…넷마블·스마일게이트 '가상 아이돌' 나온다
254,14, 2021.08.31 09:49,"넷마블에프엔씨, 자회사 메타버스엔터테인먼트 설립…“새로운 메타버스 세..."
255,15, 2021.08.31 10:14,넷마블도 메타버스 사업 진출…손자회사 설립
256,16, 2021.08.31 10:00,"넷마블, 자회사 통해 메타버스 엔터 사업 진출"
257,17, 2021.08.30 13:30,넷마블 ‘마블 퓨처 레볼루션’ 론칭쇼..누적시청 33만
258,0, 2021.08.31 10:35,"넷마블에프앤씨, 자회사 ‘메타버스엔터테인먼트’ 설립"
259,1, 2021.08.31 10:13,"넷마블, 메타버스 사업 본격 진출…가상 아이돌 나온다"
260,2, 2021.08.31 09:55,넷마블 ‘메타버스’ 시동..‘메타버스엔터테인먼트’ 설립
261,3, 2021.08.31 09:52,넷마블 '가상 아이돌' 나온다…'메타버스엔터' 설립
262,4, 2021.08.31 10:14,넷마블도 메타버스 사업 진출…손자회사 설립
263,5, 2021.08.31 10:00,"넷마블, 자회사 통해 메타버스 엔터 사업 진출"
264,6, 2021.08.31 09:49,"넷마블에프엔씨, 자회사 메타버스엔터테인먼트 설립…“새로운 메타버스 세...."
265,7, 2021.08.30 13:30,넷마블 ‘마블 퓨처 레볼루션’ 론칭쇼..누적시청 33만
266,8, 2021.08.30 10:56,"넷마블, ‘마블 퓨처 레볼루션’ 론칭쇼 시청자수 33만명↑"
267,9, 2021.08.30 10:53,"넷마블, 마블퓨처레볼루션 론칭쇼 누적 시청자 33만명"
268,10, 2021.08.30 10:41,"넷마블, ‘마블퓨처레볼루션’ 론칭쇼 33만명 봤다"
269,11, 2021.08.26 18:22,"신작에 울고 웃은 게임株…펄어비스 급등, 엔씨·넷마블 급락"
270,12, 2021.08.25 20:13,"넷마블 신작 ‘마블 퓨처 레볼루션’, 국내 양대 마켓 인기순위 1위 달..."
271,13, 2021.08.25 20:05,"넷마블-엔씨, 잇따라 신작 출시…신작모멘텀 부각되나"
272,14, 2021.08.25 19:12,"넷마블, 1331억원 규모 카카오뱅크 주식 매도"
273,15, 2021.08.25 18:05,"넷마블, 카카오뱅크 주식 161만주 처분"
274,0, 2021.08.30 10:41,"넷마블, ‘마블퓨처레볼루션’ 론칭쇼 33만명 봤다"
275,1, 2021.08.26 18:22,"신작에 울고 웃은 게임株…펄어비스 급등, 엔씨·넷마블 급락"
276,2, 2021.08.25 20:13,"넷마블 신작 ‘마블 퓨처 레볼루션’, 국내 양대 마켓 인기순위 1위 달..."
277,3, 2021.08.25 20:05,"넷마블-엔씨, 잇따라 신작 출시…신작모멘텀 부각되나"
278,4, 2021.08.25 19:12,"넷마블, 1331억원 규모 카카오뱅크 주식 매도"
279,5, 2021.08.25 18:05,"넷마블, 카카오뱅크 주식 161만주 처분"
280,6, 2021.08.25 17:20,구글에서 웃은 엔씨 '블소2'…넷마블 '마퓨레'는 애플 강세
281,7, 2021.08.25 17:14,"넷마블 ‘마블 퓨처 레볼루션’, 78개국 앱스토어 1위…오딘·블소2와 ..."
282,8, 2021.08.25 09:20,"넷마블 신작, 韓美日 인기1위…출시 전부터 '들썩'"
283,9, 2021.08.25 08:59,"“오딘 비켜”…넷마블 ‘마블 퓨처 레볼루션’, 78개국 앱스토어서 1..."
284,10, 2021.08.25 17:10,"넷마블, 초대형 승부수 ‘마블퓨처레볼루션’ 떴다"
285,11, 2021.08.25 12:36,"넷마블, 마블 퓨처 레볼루션 240여개국 정식 출시"
286,12, 2021.08.25 16:49,넷마블 '마블 퓨처 레볼루션' 오늘 240여개국 정식 출시
287,13, 2021.08.25 10:03,넷마블 신작 ‘마블 퓨처 레볼루션’ 뜬다…78개국 앱스토어 인기 1위
288,14, 2021.08.25 08:55,"넷마블 '마블 퓨처 레볼루션', 78개국 앱스토어 1위"
289,0, 2021.08.25 12:36,"넷마블, 마블 퓨처 레볼루션 240여개국 정식 출시"
290,1, 2021.08.25 10:03,넷마블 신작 ‘마블 퓨처 레볼루션’ 뜬다…78개국 앱스토어 인기 1위
291,2, 2021.08.25 08:55,"넷마블 '마블 퓨처 레볼루션', 78개국 앱스토어 1위"
292,3, 2021.08.25 09:20,"넷마블 신작, 韓美日 인기1위…출시 전부터 '들썩'"
293,4, 2021.08.25 08:59,"“오딘 비켜”…넷마블 ‘마블 퓨처 레볼루션’, 78개국 앱스토어서 1..."
294,5, 2021.08.24 16:58,[증시이슈] 신작 출시 앞둔 넷마블·엔씨...주가 상승기류 타나
