,Unnamed: 0,날짜,기사제목
12397,5, 2021.10.15 08:52,"“1기가 동영상을 10초만에” 삼성전자, ‘5G 업로드 속도’ 업계 ..."
12398,6, 2021.10.15 08:43,"""1기가 동영상 10초만에"" 삼성전자, '5G 업로드 속도' 신기록"
12399,7, 2021.10.15 08:23,"1기가 영화 10초만에…삼성전자, 5G 업로드 신기록 달성"
12400,8, 2021.10.15 11:00,"2년뒤 삼성전자 내는 디지털세...홍남기 ""남은 쟁점 치밀하게 논의"""
12401,9, 2021.10.15 10:14,"[특징주]삼성전자, 사흘만에 '7만 전자' 회복"
12402,10, 2021.10.15 09:52,"[특징주]삼성전자, 사흘 만에 '7만전자' 회복"
12403,11, 2021.10.15 09:42,삼성전자 3거래일만에 '7만전자' 회복…코스피도 3000선 상회
12404,12, 2021.10.15 09:41,"삼성전자·TSMC, 최후의 1인 가리는 '오징어게임' 시작됐다"
12405,13, 2021.10.15 09:40,'7만전자' 복귀한 삼성전자…반도체 업종 강세
12406,14, 2021.10.15 09:32,"코스피 3000, 삼성전자 7만원 '재돌파'"
12407,15, 2021.10.15 09:29,"[오전시황] 삼성전자 '7만전자' 귀환···코스피 3,000선 탈환"
12408,0, 2021.10.15 11:49,삼성 美공장 파격혜택…테일러市 모든준비 끝
12409,1, 2021.10.15 11:20,"홍남기, 美 재무장관에 '삼성 반도체 정보 요구' 우려 전달 """
12410,2, 2021.10.15 11:19,"1기가 동영상이 10초면 '뚝딱'…삼성전자, '5G 업로드 속도' 신기..."
12411,3, 2021.10.15 09:53,"""1GB 전송 단 10초""···삼성전자, 5G업로드 신기록"
12412,4, 2021.10.15 09:34,"1? 영상 10초 만에 올린다… 삼성전자, 5G 최고 속도 달성"
12413,5, 2021.10.15 08:52,"“1기가 동영상을 10초만에” 삼성전자, ‘5G 업로드 속도’ 업계 ..."
12414,6, 2021.10.15 08:43,"""1기가 동영상 10초만에"" 삼성전자, '5G 업로드 속도' 신기록"
12415,7, 2021.10.15 08:23,"1기가 영화 10초만에…삼성전자, 5G 업로드 신기록 달성"
12416,8, 2021.10.15 11:00,"2년뒤 삼성전자 내는 디지털세...홍남기 ""남은 쟁점 치밀하게 논의"""
12417,9, 2021.10.15 10:14,"[특징주]삼성전자, 사흘만에 '7만 전자' 회복"
12418,10, 2021.10.15 09:52,"[특징주]삼성전자, 사흘 만에 '7만전자' 회복"
12419,11, 2021.10.15 09:42,삼성전자 3거래일만에 '7만전자' 회복…코스피도 3000선 상회
12420,12, 2021.10.15 09:41,"삼성전자·TSMC, 최후의 1인 가리는 '오징어게임' 시작됐다"
12421,13, 2021.10.15 09:40,'7만전자' 복귀한 삼성전자…반도체 업종 강세
12422,14, 2021.10.15 09:32,"코스피 3000, 삼성전자 7만원 '재돌파'"
12423,15, 2021.10.15 09:29,"[오전시황] 삼성전자 '7만전자' 귀환···코스피 3,000선 탈환"
12424,0, 2021.10.15 11:49,삼성 美공장 파격혜택…테일러市 모든준비 끝
12425,1, 2021.10.15 11:20,"홍남기, 美 재무장관에 '삼성 반도체 정보 요구' 우려 전달 """
12426,2, 2021.10.15 11:19,"1기가 동영상이 10초면 '뚝딱'…삼성전자, '5G 업로드 속도' 신기..."
12427,3, 2021.10.15 09:53,"""1GB 전송 단 10초""···삼성전자, 5G업로드 신기록"
12428,4, 2021.10.15 09:34,"1? 영상 10초 만에 올린다… 삼성전자, 5G 최고 속도 달성"
12429,5, 2021.10.15 08:52,"“1기가 동영상을 10초만에” 삼성전자, ‘5G 업로드 속도’ 업계 ..."
12430,6, 2021.10.15 08:43,"""1기가 동영상 10초만에"" 삼성전자, '5G 업로드 속도' 신기록"
12431,7, 2021.10.15 08:23,"1기가 영화 10초만에…삼성전자, 5G 업로드 신기록 달성"
12432,8, 2021.10.15 11:00,"2년뒤 삼성전자 내는 디지털세...홍남기 ""남은 쟁점 치밀하게 논의"""
12433,9, 2021.10.15 10:14,"[특징주]삼성전자, 사흘만에 '7만 전자' 회복"
12434,10, 2021.10.15 09:52,"[특징주]삼성전자, 사흘 만에 '7만전자' 회복"
12435,11, 2021.10.15 09:42,삼성전자 3거래일만에 '7만전자' 회복…코스피도 3000선 상회
12436,12, 2021.10.15 09:41,"삼성전자·TSMC, 최후의 1인 가리는 '오징어게임' 시작됐다"
12437,13, 2021.10.15 09:40,'7만전자' 복귀한 삼성전자…반도체 업종 강세
12438,14, 2021.10.15 09:32,"코스피 3000, 삼성전자 7만원 '재돌파'"
12439,15, 2021.10.15 09:29,"[오전시황] 삼성전자 '7만전자' 귀환···코스피 3,000선 탈환"
12440,0, 2021.10.15 11:49,삼성 美공장 파격혜택…테일러市 모든준비 끝
12441,1, 2021.10.15 11:20,"홍남기, 美 재무장관에 '삼성 반도체 정보 요구' 우려 전달 """
12442,2, 2021.10.15 11:19,"1기가 동영상이 10초면 '뚝딱'…삼성전자, '5G 업로드 속도' 신기..."
12443,3, 2021.10.15 09:53,"""1GB 전송 단 10초""···삼성전자, 5G업로드 신기록"
12444,4, 2021.10.15 09:34,"1? 영상 10초 만에 올린다… 삼성전자, 5G 최고 속도 달성"
12445,5, 2021.10.15 08:52,"“1기가 동영상을 10초만에” 삼성전자, ‘5G 업로드 속도’ 업계 ..."
12446,6, 2021.10.15 08:43,"""1기가 동영상 10초만에"" 삼성전자, '5G 업로드 속도' 신기록"
12447,7, 2021.10.15 08:23,"1기가 영화 10초만에…삼성전자, 5G 업로드 신기록 달성"
12448,8, 2021.10.15 11:00,"2년뒤 삼성전자 내는 디지털세...홍남기 ""남은 쟁점 치밀하게 논의"""
12449,9, 2021.10.15 10:14,"[특징주]삼성전자, 사흘만에 '7만 전자' 회복"
12450,10, 2021.10.15 09:52,"[특징주]삼성전자, 사흘 만에 '7만전자' 회복"
12451,11, 2021.10.15 09:42,삼성전자 3거래일만에 '7만전자' 회복…코스피도 3000선 상회
12452,12, 2021.10.15 09:41,"삼성전자·TSMC, 최후의 1인 가리는 '오징어게임' 시작됐다"
12453,13, 2021.10.15 09:40,'7만전자' 복귀한 삼성전자…반도체 업종 강세
12454,14, 2021.10.15 09:32,"코스피 3000, 삼성전자 7만원 '재돌파'"
12455,15, 2021.10.15 09:29,"[오전시황] 삼성전자 '7만전자' 귀환···코스피 3,000선 탈환"
12456,0, 2022.01.11 15:56,"삼성전자도 제쳤다…카카오 급락에 속 타는 개미들, 8490억 사들이며 ..."
