,Unnamed: 0,날짜,기사제목
467,5, 2021.07.25 09:43,코스닥 주간 개인 순매도 상위 1위 '카카오게임즈'
468,6, 2021.07.25 09:07,[펀드와치]카카오게임즈 흥행 가도…게임펀드 수익률 '방긋'
469,7, 2021.07.23 11:24,카카오게임즈 ‘오딘’ vs 펄어비스 ‘사막’...‘게임주 3위’ 불꽃경...
470,8, 2021.07.23 09:20,"카카오게임즈, 또 다시 신고가…장중 약세 전환"
471,9, 2021.07.23 07:45,카카오게임즈 효과?…게임ETF 7월 수익률 `고공행진`
472,10, 2021.07.22 17:11,"카카오게임즈 '오딘' 흥행에 시총 3조원↑…증권가 ""더 간다"""
473,11, 2021.07.22 10:52,"""장중 12%, 이달 70%↑…그때 살껄, 껄무새는 웁니다"" 진격의 ..."
474,0, 2021.07.22 17:11,"카카오게임즈 '오딘' 흥행에 시총 3조원↑…증권가 ""더 간다"""
475,1, 2021.07.22 10:52,"""장중 12%, 이달 70%↑…그때 살껄, 껄무새는 웁니다"" 진격의 ..."
476,2, 2021.07.22 16:26,"카카오게임즈 ‘이터널 리턴’, 다음게임에서 즐긴다"
477,3, 2021.07.22 16:11,카카오게임즈. 이틀 연속 신고가 ‘행진’…‘오딘’ 흥행에 급속 성장 ‘...
478,4, 2021.07.22 14:24,"카카오게임즈, 신작 흥행에 장중 10만원 돌파…신고가 경신"
479,5, 2021.07.22 11:32,"[특징주] '파죽지세' 카카오게임즈, 10만원 고지 뚫었다"
480,6, 2021.07.22 10:44,"카카오게임즈, 10만원 가나…이틀 연속 52주 신고가 경신"
481,7, 2021.07.22 13:36,"카카오게임즈, 이틀째 고공행진…장중 10만원 돌파"
482,8, 2021.07.22 11:20,"카카오게임즈, '이터널 리턴' 다음게임 출시"
483,9, 2021.07.22 11:16,"카카오게임즈, 장중 10만원 돌파…'오딘' 효과 톡톡"
484,10, 2021.07.22 09:27,"'오딘' 열풍 어디까지…카카오게임즈, 3%대 강세"
485,11, 2021.07.22 11:14,[주식 초고수는 지금] 카카오게임즈 전성시대...매수·매도 2거래일째 ...
486,12, 2021.07.22 10:35,"[특징주]카카오게임즈, 외인 ‘사자’에 신고가 경신"
487,13, 2021.07.21 17:59,"이달 53% 뛴 카카오게임즈…증권가 ""오딘 장기흥행 예상"""
488,14, 2021.07.21 15:49,"'오딘 효과' 카카오게임즈, 이달 들어 주가 50% 넘게 올라"
489,0, 2021.07.22 10:44,"카카오게임즈, 10만원 가나…이틀 연속 52주 신고가 경신"
490,1, 2021.07.22 10:35,"[특징주]카카오게임즈, 외인 ‘사자’에 신고가 경신"
491,2, 2021.07.22 09:27,"'오딘' 열풍 어디까지…카카오게임즈, 3%대 강세"
492,3, 2021.07.21 17:59,"이달 53% 뛴 카카오게임즈…증권가 ""오딘 장기흥행 예상"""
493,4, 2021.07.21 15:49,"'오딘 효과' 카카오게임즈, 이달 들어 주가 50% 넘게 올라"
494,5, 2021.07.21 11:27,[주식 초고수는 지금]'오딘' 흥행에 주목...카카오게임즈 매수·매도 ...
495,6, 2021.07.21 10:59,"카카오게임즈, ‘오딘’ 흥행에 신고가 경신"
496,7, 2021.07.21 10:06,"카카오게임즈, '오딘' 흥행에 52주 신고가 경신"
