,Unnamed: 0,날짜,기사제목
60,5, 2021.10.08 17:31,"[단독] 카카오 국감에서 두드려맞자…""콘텐츠 자회사 불공정 문제 조사하..."
61,6, 2021.10.08 17:23,"토스, 핀테크+모빌리티로 '한국판 그랩' 도전…카카오T와 맞짱"
62,7, 2021.10.08 16:30,"[단독] 카카오 투자자, 헤어샵 철수 반대···""동의 없이 서비스 중단..."
63,8, 2021.10.08 10:42,"토스, 타다 전격인수..카카오 공동체와 승부"
64,9, 2021.10.08 04:52,"반등 성공한 네이버·카카오, 바닥 찍었다?"
65,0, 2021.10.07 21:31,"김범수 ""카카오택시 등 수수료 내릴 것"" [2021 국정감사]"
66,1, 2021.10.07 20:31,"[국감 2021] 카카오, 직방 ‘플랫폼 상생-규율 준수’ 총력"
67,2, 2021.10.07 19:36,[국감 2021] 카카오 김범수 “플랫폼 활성화 통해 수수료↓”
68,3, 2021.10.07 20:37,카카오 김범수 “돈 내고 상단 올라가는 플랫폼 비지니스 안돼”
69,4, 2021.10.07 19:47,"카카오 김범수 ""시장 지배력 커져도 수수료 안 올리겠다"""
70,5, 2021.10.07 18:10,"빅데이터는 안다...""카카오 곧 '애견이송서비스' 선보인다"""
71,6, 2021.10.07 17:57,"5% 넘게 반등한 네이버·카카오… “일시적 상승, 3분기 실적이 중요”"
72,7, 2021.10.07 17:46,"[국감 2021] 로톡, 직방, 카카오모빌리티..갈등해소 총력"
73,8, 2021.10.07 16:27,"'상생모드' 카카오모빌리티…대리노조 인정, 단체교섭 나서"
74,9, 2021.10.07 16:01,"""네이버와 카카오, 韓스타트업 성장지원 활발""..스타트업얼라이언스"
75,10, 2021.10.07 15:57,"[마감시황] 카카오·네이버, 5%대 상승으로 이틀 연속 강세"
76,11, 2021.10.07 15:55,"코스피, 기관 매수에 2960선 턱밑까지…네이버·카카오 5%대↑"
77,0, 2021.10.07 15:57,"[마감시황] 카카오·네이버, 5%대 상승으로 이틀 연속 강세"
78,1, 2021.10.07 15:55,"코스피, 기관 매수에 2960선 턱밑까지…네이버·카카오 5%대↑"
79,2, 2021.10.07 15:53,모처럼 네이버 카카오 5% 급등…코스피도 반등 성공
80,3, 2021.10.07 15:24,"Z홀딩스, 네이버와 카카오가 합쳐진 일본의 대표 PC·모바일 플랫폼 [..."
81,4, 2021.10.07 14:49,“왜 네이버처럼 못합니까” 동네 ‘꼬리표’ 카카오는 억울하다? [IT선...
82,5, 2021.10.07 14:46,"카카오, 창사 후 첫 임원직급 도입…""권한·책임 분산"""
83,6, 2021.10.07 10:22,"카카오, 미등기 임원7人 지분 공시…첫 임원 직급 도입"
