,Unnamed: 0,날짜,기사제목
63,18, 2021.07.23 17:06,"우리금융, 지주 출범 후 첫 중간배당...주당 150원"
64,19, 2021.07.23 16:52,"우리금융, 주당 150원 중간배당 결정"
65,20, 2021.07.23 16:24,"우리금융, 주당 150원 중간배당 결정"
66,21, 2021.07.23 16:22,"우리금융지주, 첫 중간배당 실시…주당 150원"
67,22, 2021.07.23 16:17,KB·하나 이어 우리금융도 첫 중간배당··· 주당 150원
68,23, 2021.07.23 16:44,"[공시]우리금융지주, 주당 150원 현금배당 결정"
69,24, 2021.07.23 16:33,"우리금융, 주당 150원 중간배당 결정"
70,25, 2021.07.23 15:52,"농협금융, 상반기 순익 1.3조 '사상 최대'…우리금융과 치열한 경쟁(..."
71,26, 2021.07.23 14:19,"농협금융, 반년 만에 ‘4대 금융지주’ 자리 우리금융에 뺏겼다"
72,27, 2021.07.23 14:17,"동양생명, 우리금융 처분…""제도 대응+다자보험 영향"""
73,28, 2021.07.23 09:20,"동양생명, 우리금융지주 전량 매각...자본건전성 위해 재원마련"
74,29, 2021.07.23 09:17,"동양생명, 우리금융 지분 전량 3015억에 처분"
75,30, 2021.07.23 08:35,"[공시] 동양생명, 우리금융지주 주식 3015억 처분"
76,31, 2021.07.23 08:31,"[마켓인사이트]동양생명, 우리금융 지분 모두 판다"
77,32, 2021.07.23 08:23,"동양생명, 3015억 규모 우리금융지주 주식 전량 처분 결정"
78,33, 2021.07.22 17:59,"카뱅 공모가, 3만9000원 확정···상장 후 시총 하나·우리금융 넘는..."
79,0, 2021.07.23 17:18,우리금융 1100억 중간배당 쏜다
80,1, 2021.07.23 17:06,"우리금융, 지주 출범 후 첫 중간배당...주당 150원"
81,2, 2021.07.23 16:52,"우리금융, 주당 150원 중간배당 결정"
82,3, 2021.07.23 16:24,"우리금융, 주당 150원 중간배당 결정"
83,4, 2021.07.23 16:22,"우리금융지주, 첫 중간배당 실시…주당 150원"
84,5, 2021.07.23 16:17,KB·하나 이어 우리금융도 첫 중간배당··· 주당 150원
85,6, 2021.07.23 16:44,"[공시]우리금융지주, 주당 150원 현금배당 결정"
86,7, 2021.07.23 16:33,"우리금융, 주당 150원 중간배당 결정"
87,8, 2021.07.23 15:52,"농협금융, 상반기 순익 1.3조 '사상 최대'…우리금융과 치열한 경쟁(..."
88,9, 2021.07.23 14:19,"농협금융, 반년 만에 ‘4대 금융지주’ 자리 우리금융에 뺏겼다"
89,10, 2021.07.23 15:08,"[레이더M] 동양생명, 우리금융 지분 모두 팔았다"
90,11, 2021.07.23 11:52,"동양생명, 우리금융 지분 매각…완전 민영화 속도낼까"
91,12, 2021.07.23 10:34,"동양생명, 우리금융지주 지분 전량 처분"
92,13, 2021.07.23 10:27,"동양생명, 우리금융 지분 전량 매각… 3014억 확보"
93,14, 2021.07.23 08:55,"동양생명, 우리금융지주 지분 전량 매각"
94,15, 2021.07.23 08:50,"[시그널] 동양생명, 우리금융지주 주식 전량 처분···3,014억 확..."
95,16, 2021.07.23 08:42,"동양생명, 우리금융지주 지분 전량 처분"
96,17, 2021.07.23 14:17,"동양생명, 우리금융 처분…""제도 대응+다자보험 영향"""
97,18, 2021.07.23 09:20,"동양생명, 우리금융지주 전량 매각...자본건전성 위해 재원마련"
98,19, 2021.07.23 09:17,"동양생명, 우리금융 지분 전량 3015억에 처분"
99,20, 2021.07.23 08:35,"[공시] 동양생명, 우리금융지주 주식 3015억 처분"
100,21, 2021.07.23 08:31,"[마켓인사이트]동양생명, 우리금융 지분 모두 판다"
101,22, 2021.07.23 08:23,"동양생명, 3015억 규모 우리금융지주 주식 전량 처분 결정"
102,23, 2021.07.22 17:59,"카뱅 공모가, 3만9000원 확정···상장 후 시총 하나·우리금융 넘는..."
103,24, 2021.07.22 14:28,[증시이슈] ‘역대급’ 실적 낸 우리금융지주…3%대 상승
104,25, 2021.07.22 14:09,"우리금융, 사무실 에너지 절약과 재활용 챌린지…‘으쓱(ESG) 캠페인’..."
105,26, 2021.07.22 13:33,"우리금융, ESG경영 강화 으쓱캠페인 확대"
106,27, 2021.07.22 10:25,"우리금융, '으쓱(ESG) 캠페인' 확대 시행"
107,28, 2021.07.22 13:47,"우리은행 소속 5명, 도쿄올림픽에 출전"
108,29, 2021.07.22 12:21,은행주 모처럼 볕드나… 우리금융 2분기 '어닝서프라이즈'에 동반강세
109,0, 2021.07.23 14:19,"농협금융, 반년 만에 ‘4대 금융지주’ 자리 우리금융에 뺏겼다"
110,1, 2021.07.23 14:17,"동양생명, 우리금융 처분…""제도 대응+다자보험 영향"""
111,2, 2021.07.23 09:20,"동양생명, 우리금융지주 전량 매각...자본건전성 위해 재원마련"
112,3, 2021.07.23 09:17,"동양생명, 우리금융 지분 전량 3015억에 처분"
113,4, 2021.07.23 08:35,"[공시] 동양생명, 우리금융지주 주식 3015억 처분"
114,5, 2021.07.23 08:31,"[마켓인사이트]동양생명, 우리금융 지분 모두 판다"
115,6, 2021.07.23 08:23,"동양생명, 3015억 규모 우리금융지주 주식 전량 처분 결정"
116,7, 2021.07.23 11:52,"동양생명, 우리금융 지분 매각…완전 민영화 속도낼까"
117,8, 2021.07.23 10:34,"동양생명, 우리금융지주 지분 전량 처분"
118,9, 2021.07.23 10:27,"동양생명, 우리금융 지분 전량 매각… 3014억 확보"
119,10, 2021.07.23 08:55,"동양생명, 우리금융지주 지분 전량 매각"
120,11, 2021.07.23 08:50,"[시그널] 동양생명, 우리금융지주 주식 전량 처분···3,014억 확..."
121,12, 2021.07.23 08:42,"동양생명, 우리금융지주 지분 전량 처분"
122,13, 2021.07.22 17:59,"카뱅 공모가, 3만9000원 확정···상장 후 시총 하나·우리금융 넘는..."
123,14, 2021.07.22 14:28,[증시이슈] ‘역대급’ 실적 낸 우리금융지주…3%대 상승
124,15, 2021.07.22 14:09,"우리금융, 사무실 에너지 절약과 재활용 챌린지…‘으쓱(ESG) 캠페인’..."
125,16, 2021.07.22 13:33,"우리금융, ESG경영 강화 으쓱캠페인 확대"
126,17, 2021.07.22 10:25,"우리금융, '으쓱(ESG) 캠페인' 확대 시행"
127,18, 2021.07.22 13:47,"우리은행 소속 5명, 도쿄올림픽에 출전"
128,19, 2021.07.22 12:21,은행주 모처럼 볕드나… 우리금융 2분기 '어닝서프라이즈'에 동반강세
129,20, 2021.07.22 11:38,[톡톡!금융]우리금융 실적은 올들어 왜 뛰었을까?
130,21, 2021.07.22 09:29,"[특징주]우리금융지주, 2Q 어닝서프라이즈에 3%대 상승"
131,0, 2021.07.23 08:35,"[공시] 동양생명, 우리금융지주 주식 3015억 처분"
132,1, 2021.07.23 08:31,"[마켓인사이트]동양생명, 우리금융 지분 모두 판다"
133,2, 2021.07.23 08:23,"동양생명, 3015억 규모 우리금융지주 주식 전량 처분 결정"
134,3, 2021.07.22 17:59,"카뱅 공모가, 3만9000원 확정···상장 후 시총 하나·우리금융 넘는..."
135,4, 2021.07.22 14:28,[증시이슈] ‘역대급’ 실적 낸 우리금융지주…3%대 상승
136,5, 2021.07.22 14:09,"우리금융, 사무실 에너지 절약과 재활용 챌린지…‘으쓱(ESG) 캠페인’..."
137,6, 2021.07.22 13:33,"우리금융, ESG경영 강화 으쓱캠페인 확대"
138,7, 2021.07.22 10:25,"우리금융, '으쓱(ESG) 캠페인' 확대 시행"
139,8, 2021.07.22 13:47,"우리은행 소속 5명, 도쿄올림픽에 출전"
140,9, 2021.07.22 12:21,은행주 모처럼 볕드나… 우리금융 2분기 '어닝서프라이즈'에 동반강세
141,10, 2021.07.22 11:38,[톡톡!금융]우리금융 실적은 올들어 왜 뛰었을까?
142,11, 2021.07.22 09:29,"[특징주]우리금융지주, 2Q 어닝서프라이즈에 3%대 상승"
143,12, 2021.07.22 09:28,"[특징주] 유안타증권, 우리금융 중소형증권사 M&A 추진 소식에 강세"
