,Unnamed: 0,날짜,기사제목
64,18, 2021.12.26 13:39,"IBK기업은행, 2022년 중소기업대출 53조원 공급…""금리인상기 지..."
65,19, 2021.12.26 13:19,"기업은행, 내년 중소기업 대출 53조 공급한다"
66,20, 2021.12.26 10:10,"기업은행, “내년 중소기업 53조, 영세 소상공인 15조 대출 지원할..."
67,21, 2021.12.26 09:50," IBK기업은행, 내년 중소기업에 53조 공급"
68,22, 2021.12.21 18:27,"희귀질환 앓는 中企 근로자 가족에 기업은행, 치료비 5억원 지원"
69,23, 2021.12.21 09:55,"기업은행, 중기 근로자 가족에 치료비 5억원 전달"
70,24, 2021.12.21 09:49,"기업은행, 중기 근로자 가족에 치료비 5억원 전달"
71,25, 2021.12.21 11:01,"기업은행-신보, '비대면·디지털 금융' 활성화 업무협약"
72,26, 2021.12.21 10:51,"기업은행, 은행권 최초 비대면 보증신청"
73,27, 2021.12.21 10:12,"IBK證, 해외주식 이벤트…추첨 통해 테·루·리 증정"
74,28, 2021.12.21 09:59,"IBK證, 8주간 ‘해외주식 선물받기 이벤트’ 진행"
75,0, 2021.12.27 12:41,"IBK기업은행, 코로나 상생 위해 ""내년 중소기업에 53조원 지원"""
76,1, 2021.12.27 11:10,"기업은행, 내년 중소기업 대출 53조원 공급"
77,2, 2021.12.27 08:38,"기업은행, 내년 중소기업 대출 53조원 공급"
78,3, 2021.12.27 06:42,"기업은행, 내년 中企에 53조·소상공인에 15조 대출 지원"
79,4, 2021.12.26 18:32,"기업은행, 내년 중기대출 53조 공급"
80,5, 2021.12.26 17:50,"기업은행, 내년 中企에 53조 대출 지원한다"
81,6, 2021.12.26 17:48,"기업은행, 내년 중기 신규대출 53조…소상공인들엔 15조 추가 지원"
82,7, 2021.12.26 14:43,"IBK기업은행, 내년 중소기업에 53조 대츨"
83,8, 2021.12.26 13:39,"IBK기업은행, 2022년 중소기업대출 53조원 공급…""금리인상기 지..."
84,9, 2021.12.26 13:19,"기업은행, 내년 중소기업 대출 53조 공급한다"
85,10, 2021.12.26 10:10,"기업은행, “내년 중소기업 53조, 영세 소상공인 15조 대출 지원할..."
86,11, 2021.12.26 09:50," IBK기업은행, 내년 중소기업에 53조 공급"
87,12, 2021.12.21 18:27,"희귀질환 앓는 中企 근로자 가족에 기업은행, 치료비 5억원 지원"
88,13, 2021.12.21 09:55,"기업은행, 중기 근로자 가족에 치료비 5억원 전달"
89,14, 2021.12.21 09:49,"기업은행, 중기 근로자 가족에 치료비 5억원 전달"
90,15, 2021.12.21 11:01,"기업은행-신보, '비대면·디지털 금융' 활성화 업무협약"
91,16, 2021.12.21 10:51,"기업은행, 은행권 최초 비대면 보증신청"
92,17, 2021.12.21 10:12,"IBK證, 해외주식 이벤트…추첨 통해 테·루·리 증정"
93,18, 2021.12.21 09:59,"IBK證, 8주간 ‘해외주식 선물받기 이벤트’ 진행"
94,19, 2021.12.21 09:34,신보-기업은행과 비대면·디지털 금융 활성화 업무협약
95,20, 2021.12.20 15:56,"기업은행-주금공, ESG 우수 中企에 최대 5억원 저리 대출"
96,21, 2021.12.20 15:37,"기업은행·주금공, 150억원 규모 ESG 펀드 조성"
97,22, 2021.12.20 15:36,"주금공·기업은행, ESG 잘하는 中企에 5억까지 싸게 빌려준다"
98,23, 2021.12.20 15:26,"기업은행 주금공, ESG 중소기업에 최대 5억원 대출"
99,24, 2021.12.19 06:02,"“중형 증권사의 반란”…한화·IBK·KTB, 신용도 상향 조정 ‘낭보’"
100,25, 2021.12.16 13:53,"[fn마켓워치]아이디·대성·하랑·IBK·T, 디지털 휴먼 영상 '라이언..."
101,26, 2021.12.16 12:01,"기업은행, 올해 사회적기업에 3505억 지원...은행권 1위"
102,0, 2021.12.26 10:10,"기업은행, “내년 중소기업 53조, 영세 소상공인 15조 대출 지원할 ..."
103,1, 2021.12.26 09:50," IBK기업은행, 내년 중소기업에 53조 공급"
104,2, 2021.12.21 18:27,"희귀질환 앓는 中企 근로자 가족에 기업은행, 치료비 5억원 지원"
105,3, 2021.12.21 09:55,"기업은행, 중기 근로자 가족에 치료비 5억원 전달"
