,Unnamed: 0,날짜,기사제목
631,15, 2021.10.27 14:25,"엔씨소프트, 블소2 '세 개의 소울' 업데이트"
632,0, 2021.11.02 14:39,"""낮아진 과금으로 수익창출 가능할까""…엔씨소프트 '리니지W' 출격 임박"
633,1, 2021.11.01 10:12,"엔씨 '유니버스', 아티스트 한정판 NFT 제작...더보이즈 컴백 기념"
634,2, 2021.10.31 11:20,11월 출격하는 엔씨 최후의 대작 ‘리니지W’…강·약점 따져보니
635,3, 2021.10.29 09:25,"엔씨소프트, 'D-6' 리니지W 인게임 영상 공개"
636,4, 2021.10.27 17:57,엔씨(NC) ‘블레이드&소울2’ 세 개의 소울 업데이트
637,5, 2021.10.27 14:25,"엔씨소프트, 블소2 '세 개의 소울' 업데이트"
638,6, 2021.10.26 12:06,KT가 먹통이었지만…엔씨·컴투스 등 게임사 '접속장애 보상'
639,7, 2021.10.26 11:10,"'KT먹통 탓인데'...엔씨 등 게임사 ""이용자 보상"""
640,8, 2021.10.26 11:29,"악재 가득 3Q 보낸 엔씨, 황제주 복귀의 관건은 '리니지W'"
641,9, 2021.10.26 07:27,"엔씨소프트, 3Q 실적 부진…향후 관건은 '리니지W'-한투"
642,10, 2021.10.26 10:38,'린저씨 컴백' 열흘 앞으로…엔씨소프트 기관 6거래일 연속 사자
643,11, 2021.10.25 17:12,"엔씨소프트, ‘리니지W’ 11월 2일 사전 다운로드"
644,12, 2021.10.25 15:43,"엔씨소프트, '리니지W' 11월 2일 사전 다운로드 시작"
645,13, 2021.10.25 11:36,"크래프톤-엔씨-넷마블, 슈퍼IP로 글로벌 승부수"
646,0, 2021.10.26 07:27,"엔씨소프트, 3Q 실적 부진…향후 관건은 '리니지W'-한투"
647,1, 2021.10.25 17:12,"엔씨소프트, ‘리니지W’ 11월 2일 사전 다운로드"
648,2, 2021.10.25 15:43,"엔씨소프트, '리니지W' 11월 2일 사전 다운로드 시작"
649,3, 2021.10.25 11:36,"크래프톤-엔씨-넷마블, 슈퍼IP로 글로벌 승부수"
650,4, 2021.10.25 06:33,[이번주 추천주] '위드 코로나' 하이트진로 수혜···'리니지W' 엔씨...
651,5, 2021.10.23 13:00,변신 노력 통했나…블소2 반등·리니지W 활약 힘입어 재기한 엔씨소프트
652,6, 2021.10.23 08:01,[하나금투 주간추천주]'실적 기대감'…엔씨소프트·LG유플러스·솔루스첨단...
653,7, 2021.10.21 10:26,"엔씨 아이온, 클래식 신서버 사전 캐릭터 생성 시작"
654,8, 2021.10.19 16:50,두달만에···카카오·엔씨 '수렁 탈출' 시동
655,9, 2021.10.19 10:36,"린저씨 돌아왔다…바닥 찍은 엔씨소프트, 닷새 만에 13%↑"
656,10, 2021.10.19 15:39,"엔씨 ‘유니버스’, 11월7일 ‘우주소녀’ 팬파티 연다"
657,11, 2021.10.19 10:52,[증시이슈] 리니지W 사전예약 1300만 건 돌파하자 엔씨소프트 4% ...
658,12, 2021.10.19 09:37,"엔씨소프트, '리니지W' 사전예약 1300만 돌파 소식에 '강세'"
659,13, 2021.10.19 09:36,"엔씨소프트, 신작 게임 흥행 기대감 속 4%대 강세"
660,14, 2021.10.19 09:33,"[특징주] 엔씨소프트,'리니지W' 사전예약 MMORPG 역대 최대....."
661,15, 2021.10.19 09:16,"[특징주] 엔씨소프트, 리니지W 흥행 기대감 반영 3%↑"
662,16, 2021.10.19 09:16,"엔씨소프트, 장초반 상승…'리니지w' 사전예약 1300만명 돌파"
663,17, 2021.10.19 09:07,"[특징주]엔씨소프트, ‘리니지W’ 사전예약 1300만 돌파에 ↑"
664,0, 2021.10.19 10:52,[증시이슈] 리니지W 사전예약 1300만 건 돌파하자 엔씨소프트 4% ...
665,1, 2021.10.19 09:37,"엔씨소프트, '리니지W' 사전예약 1300만 돌파 소식에 '강세'"
666,2, 2021.10.19 09:36,"엔씨소프트, 신작 게임 흥행 기대감 속 4%대 강세"
667,3, 2021.10.19 09:33,"[특징주] 엔씨소프트,'리니지W' 사전예약 MMORPG 역대 최대....."
668,4, 2021.10.19 09:16,"[특징주] 엔씨소프트, 리니지W 흥행 기대감 반영 3%↑"
669,5, 2021.10.19 09:16,"엔씨소프트, 장초반 상승…'리니지w' 사전예약 1300만명 돌파"
670,6, 2021.10.19 09:07,"[특징주]엔씨소프트, ‘리니지W’ 사전예약 1300만 돌파에 ↑"
671,7, 2021.10.19 10:36,"린저씨 돌아왔다…바닥 찍은 엔씨소프트, 닷새 만에 13%↑"
672,8, 2021.10.18 17:48,"엔씨소프트, 부진 언제까지?…KB證 “3분기 부진 전망에 목표가 17%..."
673,9, 2021.10.18 09:46,"엔씨소프트, 3분기 실적부진 전망…목표주가 18%↓"
674,10, 2021.10.18 09:11,"엔씨소프트, 3분기 실적 기대치 하회 전망에 하락"
675,11, 2021.10.18 08:48,"KB증권 “엔씨소프트, 실적 부진…목표가 79만원 하향”"
676,12, 2021.10.18 08:05,또 내려간 엔씨 목표가…1년 8개월 전 수준으로 회귀
677,13, 2021.10.18 07:49,"엔씨소프트, 목표주가 96만→79만-KB"
678,14, 2021.10.18 07:34,"엔씨소프트, 주요 게임 매출액 부진…목표가↓ -KB"
679,15, 2021.10.18 07:28,"""엔씨소프트, 3분기 실적 컨센서스 하회 전망에 목표가↓""-KB"
680,16, 2021.10.18 07:23,"[클릭 e종목]""엔씨소프트, 리니지W로 주가 반등 모멘텀 만들 것"""
