,Unnamed: 0,날짜,기사제목
302,18, 2021.07.14 08:09,"펄어비스, 3Q부터 본격적인 실적개선… 목표가 46%↑-DS"
303,0, 2021.07.20 13:24,"4거래일 연속 상승 중인 펄어비스…""붉은사막 기대감 크다"""
304,1, 2021.07.20 08:48,"펄어비스, 붉은사막 中 출시 기대감 높아…목표가 ↑"
305,2, 2021.07.20 08:12,"펄어비스, '붉은사막' 출시 예정…목표주가 상향-신한"
306,3, 2021.07.19 10:20,"[특징주]펄어비스, '검은 사막' 모바일 중국 흥행 기대감에 강세"
307,4, 2021.07.14 18:38,[줌인] ‘게임 개발자 성공신화’ 펄어비스에 몰린 이유
308,5, 2021.07.14 15:45,주식 100억원 이상 월급쟁이 제일 많이 배출한 펄어비스…비결은?
309,6, 2021.07.14 14:59,'非오너 주식부자' 톱10 중 5명이나···펄어비스는 어떤 기업?
310,7, 2021.07.14 08:59,"DB금융 “펄어비스, 2분기 실적 예상치 못 미쳐도 목표가 상향···내..."
311,8, 2021.07.14 08:09,"펄어비스, 3Q부터 본격적인 실적개선… 목표가 46%↑-DS"
312,9, 2021.07.12 17:46,카겜·펄어비스 ↑ 엔씨↓.. 게임주 목표주가 ‘희비’
313,10, 2021.07.12 16:49,‘방콕족’에 게임株 활짝 … 몸값 높아지는 카카오게임즈·펄어비스
314,11, 2021.07.12 14:17,"펄어비스, ‘검은사막’ 3년만에 대륙진출 한풀이… 내년 실적 대폭 상향..."
315,12, 2021.07.12 12:01,"펄어비스, 300억짜리 '게임아트센터' 건립…국내 최대규모"
316,13, 2021.07.12 09:53,"펄어비스, 평촌에 '국내 최대 규모' 아트센터 짓는다"
317,14, 2021.07.12 09:29,"펄어비스, 국내 게임업계 최대 아트센터 짓는다"
318,15, 2021.07.12 10:17,"펄어비스, 연면적 1500평 ‘아트센터’ 내년 상반기 개관"
319,16, 2021.07.12 10:15,내년에 ‘펄어비스 아트센터’ 문 연다..300억 규모
320,17, 2021.07.12 09:39,"펄어비스, ‘게임 기술 전전기지’ 아트센터 설립 목표"
321,18, 2021.07.12 08:06,"펄어비스, 밸류에이션 정상화 필요…목표가↑-이베스트"
322,0, 2021.07.12 16:49,‘방콕족’에 게임株 활짝 … 몸값 높아지는 카카오게임즈·펄어비스
323,1, 2021.07.12 14:17,"펄어비스, ‘검은사막’ 3년만에 대륙진출 한풀이… 내년 실적 대폭 상향..."
324,2, 2021.07.12 12:01,"펄어비스, 300억짜리 '게임아트센터' 건립…국내 최대규모"
325,3, 2021.07.12 09:53,"펄어비스, 평촌에 '국내 최대 규모' 아트센터 짓는다"
326,4, 2021.07.12 09:29,"펄어비스, 국내 게임업계 최대 아트센터 짓는다"
327,5, 2021.07.12 10:17,"펄어비스, 연면적 1500평 ‘아트센터’ 내년 상반기 개관"
328,6, 2021.07.12 10:15,내년에 ‘펄어비스 아트센터’ 문 연다..300억 규모
329,7, 2021.07.12 09:39,"펄어비스, ‘게임 기술 전전기지’ 아트센터 설립 목표"
330,8, 2021.07.12 08:06,"펄어비스, 밸류에이션 정상화 필요…목표가↑-이베스트"
331,9, 2021.07.06 09:23,"펄어비스, 첫 회사채 흥행 성공…모집액의 3배 수요 모아[마켓인사이트]"
332,10, 2021.07.05 16:57,"펄어비스, 회사채 수요예측서 3배 이상 자금 몰려"
333,11, 2021.07.02 15:47,펄어비스 이어 컴투스도 첫 공모채…1500억 조달
334,12, 2021.07.02 08:29,"펄어비스, 추가 판호 발급 기대감 지속…목표가 ↑-KTB"
335,13, 2021.07.02 08:15,"펄어비스, 라인업 추가 판호 발급 기대감 지속…목표가↑ -KTB"
336,14, 2021.07.01 15:07,"펄어비스, 장중 사상 최고치…판호·신작효과에 나는 게임株"
337,15, 2021.07.01 14:33,"[종목속으로] 판호 획득 호재 '펄어비스', 향후 주가 전망은?"
338,16, 2021.07.01 10:11,"펄어비스, 검은사막 모바일 中 판호 발급에 사흘째 강세"
339,17, 2021.07.01 09:31,"[특징주] 펄어비스, 11% 강세...'검은사막 모바일' 中 판호 발..."
340,0, 2021.07.05 16:57,"펄어비스, 회사채 수요예측서 3배 이상 자금 몰려"
341,1, 2021.07.02 15:47,펄어비스 이어 컴투스도 첫 공모채…1500억 조달
342,2, 2021.07.02 08:29,"펄어비스, 추가 판호 발급 기대감 지속…목표가 ↑-KTB"
343,3, 2021.07.02 08:15,"펄어비스, 라인업 추가 판호 발급 기대감 지속…목표가↑ -KTB"
344,4, 2021.07.01 15:07,"펄어비스, 장중 사상 최고치…판호·신작효과에 나는 게임株"
345,5, 2021.07.01 14:33,"[종목속으로] 판호 획득 호재 '펄어비스', 향후 주가 전망은?"
346,6, 2021.07.01 10:11,"펄어비스, 검은사막 모바일 中 판호 발급에 사흘째 강세"
347,7, 2021.07.01 09:31,"[특징주] 펄어비스, 11% 강세...'검은사막 모바일' 中 판호 발..."
348,8, 2021.07.01 10:15,"펄어비스, 중국 판호 획득에 11% 급등"
349,9, 2021.07.01 09:28,"펄어비스, 中 판호 획득 영향에 8%대 급등"
350,10, 2021.07.01 09:24,"[특징주]펄어비스, 52주 신고가…中 판호 발급 강세 랠리"
351,11, 2021.06.30 09:27,"펄어비스, 中 게임 시장 열렸다…주가 이틀째 강세"
352,12, 2021.06.30 09:19,"펄어비스, 中 판호발급에 목표가 81.8%↑-NH증권"
353,13, 2021.06.30 08:39,"이베스트증권 “펄어비스 ‘검은사막 모바일', 올해 말 중국 출시 가능..."
354,14, 2021.06.30 08:17,"펄어비스, 韓게임업체 中 판호 발급 재개될 듯…목표가↑-NH"
355,15, 2021.06.30 08:11,"펄어비스, 中 판호발급에 실적 큰폭 개선…투자의견·목표가 ↑ -NH"
356,16, 2021.06.30 09:08,한국투자증권 “펄어비스 中 판호 발급...국내 게임주 주가에 긍정적”
357,17, 2021.06.29 17:32,"'검은사막 모바일' 中 뚫었다.. 펄어비스, 판호 받고 서비스"
358,18, 2021.06.29 11:30,"펄어비스, ‘검은사막 모바일’ 中 서비스 허가 소식에 주가 급등"
359,19, 2021.06.29 10:12,펄어비스 ‘검은사막 모바일’ 중국 판호 발급…주가 ‘급등’
360,20, 2021.06.29 09:42,펄어비스 ‘검은사막 모바일’ 中 판호 획득
361,21, 2021.06.29 16:03,[마감시황] 코스피 3286.68 하락으로 마감…펄어비스 20.1% 올...
362,0, 2021.07.01 09:24,"[특징주]펄어비스, 52주 신고가…中 판호 발급 강세 랠리"
363,1, 2021.06.30 09:27,"펄어비스, 中 게임 시장 열렸다…주가 이틀째 강세"
364,2, 2021.06.30 09:19,"펄어비스, 中 판호발급에 목표가 81.8%↑-NH증권"
365,3, 2021.06.30 08:39,"이베스트증권 “펄어비스 ‘검은사막 모바일', 올해 말 중국 출시 가능..."
366,4, 2021.06.30 08:17,"펄어비스, 韓게임업체 中 판호 발급 재개될 듯…목표가↑-NH"
367,5, 2021.06.30 08:11,"펄어비스, 中 판호발급에 실적 큰폭 개선…투자의견·목표가 ↑ -NH"
368,6, 2021.06.30 09:08,한국투자증권 “펄어비스 中 판호 발급...국내 게임주 주가에 긍정적”
369,7, 2021.06.29 17:32,"'검은사막 모바일' 中 뚫었다.. 펄어비스, 판호 받고 서비스"
370,8, 2021.06.29 11:30,"펄어비스, ‘검은사막 모바일’ 中 서비스 허가 소식에 주가 급등"
371,9, 2021.06.29 10:12,펄어비스 ‘검은사막 모바일’ 중국 판호 발급…주가 ‘급등’
372,10, 2021.06.29 09:42,펄어비스 ‘검은사막 모바일’ 中 판호 획득
373,11, 2021.06.29 16:03,[마감시황] 코스피 3286.68 하락으로 마감…펄어비스 20.1% 올...
374,12, 2021.06.29 15:58,[코스닥 마감]성장주 강세에 '1022대' 상승…펄어비스 20%↑
375,13, 2021.06.29 15:12,"펄어비스, 中한한령 뚫었다…'검은사막 모바일' 판호 발급"
376,14, 2021.06.29 14:12,中 게임 빗장 푸나…펄어비스 '검은사막' 한한령 뚫었다
377,15, 2021.06.29 12:03,"펄어비스 ‘검은사막 모바일’, 2년여 만에 中 판호 받았다"
378,16, 2021.06.29 09:42,"펄어비스, 中판호 발급 소식에 15%대 '급등'"
379,17, 2021.06.29 09:26,"펄어비스, 중국 판호 발급으로 10%대 급등"
380,18, 2021.06.29 09:26,"[특징주]펄어비스, '검은사막 모바일' 중국 판호 발급에 급등세"
381,19, 2021.06.29 09:18,"[특징주] 펄어비스, 中 '검은사막 모바일' 판호 발급에 강세"
382,20, 2021.06.29 09:17,"[특징주] 펄어비스, 中판호 발급 소식에 게임주 들썩"
383,21, 2021.06.29 09:10,"[특징주] 펄어비스, ‘검은사막 모바일’ 中판호 발급 소식에 급등"
384,22, 2021.06.29 10:49,"'펄어비스 판호' 게임주 상승세…""신작 출시, 무조건 호재 아냐"""
385,23, 2021.06.29 10:26,"펄어비스, 중국 게임 서비스 허가에 23%대 강세"
386,24, 2021.06.28 10:35,"앱코 ""펄어비스 검은사막 키보드, 마우스 공식 라이선스 상품 출시 예정"
387,25, 2021.06.28 09:39,"앱코, 펄어비스와 협업…‘검은사막’ IP 활용 게이밍 기어 출시"
388,0, 2021.06.29 15:12,"펄어비스, 中한한령 뚫었다…'검은사막 모바일' 판호 발급"
389,1, 2021.06.29 14:12,中 게임 빗장 푸나…펄어비스 '검은사막' 한한령 뚫었다
390,2, 2021.06.29 12:03,"펄어비스 ‘검은사막 모바일’, 2년여 만에 中 판호 받았다"
391,3, 2021.06.29 09:42,"펄어비스, 中판호 발급 소식에 15%대 '급등'"
392,4, 2021.06.29 09:26,"펄어비스, 중국 판호 발급으로 10%대 급등"
393,5, 2021.06.29 09:26,"[특징주]펄어비스, '검은사막 모바일' 중국 판호 발급에 급등세"
394,6, 2021.06.29 09:18,"[특징주] 펄어비스, 中 '검은사막 모바일' 판호 발급에 강세"
395,7, 2021.06.29 09:17,"[특징주] 펄어비스, 中판호 발급 소식에 게임주 들썩"
396,8, 2021.06.29 09:10,"[특징주] 펄어비스, ‘검은사막 모바일’ 中판호 발급 소식에 급등"
397,9, 2021.06.29 11:30,"펄어비스, ‘검은사막 모바일’ 中 서비스 허가 소식에 주가 급등"
398,10, 2021.06.29 10:12,펄어비스 ‘검은사막 모바일’ 중국 판호 발급…주가 ‘급등’
399,11, 2021.06.29 09:42,펄어비스 ‘검은사막 모바일’ 中 판호 획득
400,12, 2021.06.29 10:49,"'펄어비스 판호' 게임주 상승세…""신작 출시, 무조건 호재 아냐"""
401,13, 2021.06.29 10:26,"펄어비스, 중국 게임 서비스 허가에 23%대 강세"
402,14, 2021.06.28 10:35,"앱코 ""펄어비스 검은사막 키보드, 마우스 공식 라이선스 상품 출시 예정"
403,15, 2021.06.28 09:39,"앱코, 펄어비스와 협업…‘검은사막’ IP 활용 게이밍 기어 출시"
404,16, 2021.06.23 09:49,펄어비스 설립 후 첫 공모채 발행 추진…게임회사로는 세 번째[마켓인사이...
405,17, 2021.06.21 19:59,"[마켓인]펄어비스, 첫 회사채 발행 나선다…`A` 등급 부여"
406,18, 2021.06.21 15:44,"펄어비스, 검은사막 신규 클래스 '커세어'…역대급 업데이트"
407,19, 2021.06.11 11:28,"펄어비스, ESG 경영 전담 TF조직 신설"
408,20, 2021.06.11 10:11,"펄어비스, ESG 경영 본격화…허진영 COO, TF 총괄"
409,21, 2021.06.11 09:47,"펄어비스, ESG 경영 전담TF 본격 가동"
410,22, 2021.06.11 09:51,"펄어비스, ESG 경영 나선다…""코스닥 게임사 최초"""
411,23, 2021.06.11 09:40,"펄어비스, ESG 경영 본격화... 코스닥 상장 게임 개발사 중 최초"
