title,date
"미·러 정상, 전화 담판 실패...우크라이나 사태 '공전",2022.02.13 08:12
대박납시다 ,2022.02.13 03:13
많이도 빠졌네요?,2022.02.13 00:55
넷마블이 마블슈퍼히어로 가지고있는거 모르냐,2022.02.12 23:54
이런 무식한! 아래 전쟁나면 넷마가 어케되냐고?,2022.02.12 23:28
저 밑에 늠은 비교도 못하네 ,2022.02.12 22:46
넷마블 itam 코인 드디어 기회준다 !!,2022.02.12 22:15
늦기전에 언능 타세요 곧 대박납니다.,2022.02.12 21:45
제가 가치투자하랬잖습니까,2022.02.12 21:16
러.미 전쟁나면 주식이문제가아니다,2022.02.12 21:03
전쟁나도 안나도 먹고 살아야한다..,2022.02.12 20:29
방씨 나와서  해명해봐,2022.02.12 19:43
코인 3배먹고나왔는데,2022.02.12 19:34
넷마블 시총 8.5조 영업이익 1545억,2022.02.12 19:09
전쟁나면 넷마블 어케됨? ㅇㅇㅇㅇㅇㅇ?,2022.02.12 16:59
주식시장 본격 나락이다!,2022.02.12 16:16
"위믹스코인,보라코인도 같이 빠지네..",2022.02.12 16:08
외국인이 금요일 흐뭇하게 ,2022.02.12 15:29
"""러시아, 이달 16일 우크라이나 침공할수도…바이든 美 대통령, 유럽동맹국에 전달""",2022.02.12 14:48
니들도 빨리 코인사..,2022.02.12 13:54
주주환원정책 좀 해주세요~넷마블 의장님,2022.02.12 13:38
자사주 소각도 유행 !,2022.02.12 13:32
10만 버티느라 용썼지만~,2022.02.12 13:18
코인 기사보면 적어도 2연상인데,2022.02.12 13:06
아이텀코인 시총이 얼마나 되나요,2022.02.12 12:47
8만대 보것네,2022.02.12 12:26
코인은 대박인데,2022.02.12 12:10
푸틴 바이든 12일 담판한단다..,2022.02.12 11:03
하한가 대폭락 처참하게 무너지다,2022.02.12 10:44
16층 이웃있나요??,2022.02.12 08:40
"2/14일, 94700 예상",2022.02.12 08:39
"뉴욕증시, 러 우크라 침공 우려에 급락 마감…나스닥 2.78%↓",2022.02.12 08:28
[뉴욕증시]엎친데 덮친격…이번엔 우크라 공포에 '와르르',2022.02.12 08:08
와우 작년에 18만까지간 넷마블인디,2022.02.12 07:34
원달러 1200원 돌파 달러약세 시기전망,2022.02.12 07:08
"정말, 알다가도 모르겠네.",2022.02.12 02:14
"윤석열X원희룡 ""일천만 개미투자자 살린다""",2022.02.12 01:07
냇마블은 반성 좀 해라,2022.02.12 01:05
일단 8만원은 찍어야,2022.02.12 00:01
3000억 화끈하게 태운 자사주 (카카오),2022.02.11 22:48
공매야 조심혀 ,2022.02.11 22:39
강한 넷마블 웅장하다ㅋㅋ,2022.02.11 22:33
넷마블,2022.02.11 22:31
경영진들은 나는 닭대가리다라고복창해라,2022.02.11 22:31
넷마블이 공매도가 많은 이유는 간단합니다,2022.02.11 22:25
느낌온다,2022.02.11 22:16
공매 세력들의 생각은 뻔합니다.,2022.02.11 22:07
대차잔고1위 공매27% 가슴이 웅장해진다,2022.02.11 21:50
넷마블,2022.02.11 21:27
공매들 어닝쇼크날줄 알고 주식빌렸다가,2022.02.11 20:29
여기 공매도 완전 이 악물고 달려들었네,2022.02.11 20:10
최근 며칠 대차 잔고 폭발하네요,2022.02.11 20:00
넷마블 코인 발행한다고?,2022.02.11 20:00
공매도 27퍼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2022.02.11 19:06
반대매매,2022.02.11 18:50
코스피 대차거래 잔고 증가1위 암마블,2022.02.11 18:45
정프로 대노!!!!,2022.02.11 18:37
개마블,2022.02.11 18:28
풋..9자..분할 매수 시작~~,2022.02.11 18:15
준혁이 공매도폭망시키러가자,2022.02.11 17:51
이제공매도  시작이구나,2022.02.11 17:28
추락하는 넷마블 끝났다 ,2022.02.11 17:24
추락하는 넷마블 끝났다 ,2022.02.11 17:36
방준혁 몸에 휘발유 붓고,2022.02.11 17:23
나도 아이템큐브 사기 시작했어,2022.02.11 16:35
공매도 27% 근데 얼마 안빠졌네?,2022.02.11 16:19
외국인이 밀고 저점매수했네,2022.02.11 16:14
일단 cj지분 누가 받는지 보고 들어갑시다,2022.02.11 15:52
잘 봐라 올해 대장주는 넷마블로 바뀐다,2022.02.11 15:49
그나마 외인이 매수세로 돌아서 이정도지,2022.02.11 15:49
Itam 사랫자나 아이텀 ㅋㅋㅋ,2022.02.11 15:45
넷마블,2022.02.11 15:37
공매도는 오를종목이기때문에 하는것..,2022.02.11 15:28
담주 월요일 9만 화요일 신저점 돌파,2022.02.11 15:28
암마블의 친구,2022.02.11 15:27
역시 코스피!!,2022.02.11 15:26
올해 최악이네요,2022.02.11 15:25
공매는 극복하는것이 아니라.. 피하는것이다..,2022.02.11 15:25
얼마 떨어지도 안했고만.. 난리여,2022.02.11 15:24
증시가,2022.02.11 15:24
"호가놀음보니, 꼭 정권유지 욕심부리는거와 같지않냐?",2022.02.11 15:21
오늘은 십마블임,2022.02.11 15:20
나 오늘 능욕당한거 맞지?,2022.02.11 15:20
공매도 거래 상위 50종목 안에 있는,2022.02.11 15:19
10만원 깨졌네요 증시가 ㅎㅎ,2022.02.11 15:16
모간,2022.02.11 15:14
JP모간,2022.02.11 15:15
하~~여긴 답없다!,2022.02.11 15:09
이정도면,2022.02.11 15:09
어느정도 정리하는게 맞는것 같네,2022.02.11 15:08
다죽은겨?,2022.02.11 15:07
Nigimi C8 Zot,2022.02.11 15:04
지옥의 아르페지오,2022.02.11 15:01
아래 약속의 2시 50분,2022.02.11 14:51
이제 안심해라,2022.02.11 14:44
담주 볼만하겠다 ㅋㅋㅋ,2022.02.11 14:42
나  나나나 나나나 나나나 쏴~~~^^,2022.02.11 14:42
우리가 진것같다! ,2022.02.11 14:40
공매새끼들,2022.02.11 14:40
도대체,2022.02.11 14:17
공매들 그러다 다죽어! 그냥 사지그랴!,2022.02.11 14:16
공매도 넘들 ㅋㅋㅋ,2022.02.11 14:13
전 개미들 집결하라! 몽땅사서 공매 쓸어버리자!,2022.02.11 14:13
차트 하방에 묘비 지대로 세웠네,2022.02.11 14:08
다른게임주에 비하면 여긴 양반이네,2022.02.11 14:03
형님들 작전회의 중이시나,2022.02.11 14:03
공매도 어느정도 나오는지 확인해보자 ㅋㅋ,2022.02.11 14:01
나 평단 113천원인데,2022.02.11 13:59
약속의 2시 50분 훅루룩 소리남,2022.02.11 13:56
버티는듯 하지만 호가창 보면,2022.02.11 13:54
뭐? 아이텀이 보유자의 영역이라고?,2022.02.11 13:53
쳐다보지말고 본업에 충실해라!!,2022.02.11 13:52
두 모건이가 1시 19분 이후,2022.02.11 13:40
던지던 두 외인들,2022.02.11 13:41
세나레는 재택근무로 출시지연,2022.02.11 13:38
개미탕 주문한거 아직 멀었나요?,2022.02.11 13:36
아 ,2022.02.11 13:28
"니네가 공매를 이기려면, 쟤들꺼 한번에 사버리자!",2022.02.11 13:23
개미들 조금 올려야 털듯,2022.02.11 13:22
넷마블은,2022.02.11 13:22
JP머건 펀드매니저 ,2022.02.11 13:22
갑자기 찬티들 뭐냐,2022.02.11 13:19
개미 털러했는데. 더 달라붙네,2022.02.11 13:19
"넷마"" 넷마블""이야 ~",2022.02.11 13:16
공매도 세력들 발악 하는구나 // 매수 매도 금지,2022.02.11 13:14
무너진다 대피하라,2022.02.11 13:12
인생에 낙이없다,2022.02.11 13:07
곧,2022.02.11 13:08
근데 이거 잘못하면 골로가겠는데,2022.02.11 13:06
골대에다 공구리쳐놨네,2022.02.11 13:03
벽이 겁나 크네ㅋㅋ,2022.02.11 12:58
호가창 공매물량 쏟아내내,2022.02.11 12:48
깝쭉대지마라!,2022.02.11 12:41
3월쯤엔~,2022.02.11 12:29
공매도 대단하네 ,2022.02.11 12:26
근데 궁금한데 이거 파는 사람들 심리는 뭐임?,2022.02.11 12:25
반대매매 당한거죠,2022.02.11 12:36
p9는 위메이드 어제 오늘 합쳐서 하항가 맞은거야?,2022.02.11 12:19
공매도 심리전,2022.02.11 12:15
97300원에,2022.02.11 12:12
야레야레~~,2022.02.11 12:11
야 넷마블은,2022.02.11 12:11
급등하기 전초전! 위메이드로 빨리와라!,2022.02.11 12:08
1만원만 빠져라,2022.02.11 12:06
하... 다행이다 카카오 안산걸 땅 치고 후회하는데,2022.02.11 12:05
밑꼬리에 양봉 전환,2022.02.11 12:05
10.5 만들어놔라,2022.02.11 12:03
이건 진짜 사야할때다,2022.02.11 12:02
넷마블 담당 일진 = jp모간,2022.02.11 12:01
[삭제된 게시물의 답글]다시 사심이,2022.02.11 12:06
야들아! 102000 원이 최고 꼭지인건 알제?,2022.02.11 11:57
(속보 )넷마블 하이브와 메타버스 협업 ,2022.02.11 11:57
