title,date
펄어비스 양봉,2022.02.14 11:44
한동안 게임주는 안보는게 나을듯..,2022.02.14 11:44
프로그램은 음전하겠고,2022.02.14 11:44
블록딜,2022.02.14 11:42
애들아 세아베스틸로와라,2022.02.14 11:41
요즘누가 인력으로 싸운다냐?,2022.02.14 11:39
공매 팍팍 안치노???,2022.02.14 11:37
애쓴다 공매도,2022.02.14 11:37
공매도 바부냐 우리나라전쟁도 아니구,2022.02.14 11:31
보라2 가 무제한이라 잘해봐야 국내용,2022.02.14 11:30
판을 읽어라 좀..,2022.02.14 11:29
손실 복귀의 희망 넷마블 itam 코인,2022.02.14 11:26
전쟁은 우크라이나에서 난다는데 지수 빠지는건 세계1위.,2022.02.14 11:24
오딘이 10000원짜리로 평가,2022.02.14 11:23
내일 엔씨 펄어비스 실적발표.,2022.02.14 11:22
고민하다 오늘 100주 추매 담궈봄 ,2022.02.14 11:20
러시아  전쟁은 기름  ㄱㅏ스 가격 올릴려고,2022.02.14 11:18
펄어비스는 무슨 빽이냐?,2022.02.14 11:16
지금이 눌림목은 확실하자나.. 하지만...,2022.02.14 11:13
오딘 스팀 출시하자!!!,2022.02.14 11:10
성님들 진지하게 이거 10볼까요,2022.02.14 11:08
스마게는 상장 안함?,2022.02.14 11:03
게임주장투들도투매유도제대로함,2022.02.14 11:02
이거 시총이 너무 낮은거 아녀?,2022.02.14 10:54
어우~ ,2022.02.14 10:52
게임주들 전부 오르는중. 위메이드도 상승.,2022.02.14 10:52
들고들있어라 쫄지들 말고,2022.02.14 10:48
오랜만에 와봅니다.,2022.02.14 10:47
지금도 per50배임.,2022.02.14 10:45
겜주 돌아가면서 뚜까패네 ,2022.02.14 10:42
응 더 떨어져봐~ 난 상관없다~,2022.02.14 10:41
저 또 왔어요 ㅋㅋㅋㅋㅋ,2022.02.14 10:35
열차 좌석에 구둣발 올린 놈 나와,2022.02.14 10:34
공매좀 팍팍 쳐라 더 주워가게... 늬들은 제대로 하는게 없냐,2022.02.14 10:32
오딘대만도대체언제냐 찬티들아,2022.02.14 10:32
말했자누 공매도 타깃 되버렸다고,2022.02.14 10:28
찬티들 공매이자가 큰지아나보네ㅋㅋㅋㅋ,2022.02.14 10:27
사리사욕으로 회사와 주주를 능멸한 죄!!,2022.02.14 10:26
아씨,2022.02.14 10:25
게임주 개판만든,2022.02.14 10:24
이자 그만내고 숏커버링 들어와라 ㅋㅋ,2022.02.14 10:24
ㅋㅋ ㅂㅣㅇ ㅅㅣㄴ 덜 ,2022.02.14 10:23
주주와 보라홀더를 기만한 죄!!,2022.02.14 10:21
ㅋㄷㅋㄷ,2022.02.14 10:21
배당금,2022.02.14 10:19
엔씨도 보합가는데,2022.02.14 10:19
공매도 악법 개정 (퍼나르기 도움 부탁드립니다),2022.02.14 10:17
겜돌이들 주식잘하노,2022.02.14 10:12
개인들아...이거 팔고 다른데 가도 물려ㅋㅋ,2022.02.14 10:12
그전에63900원도안밀렷어야지,2022.02.14 10:09
2차,2022.02.14 10:07
양호하네,2022.02.14 10:07
ㅋㅋㅋㅋ자전타는데,2022.02.14 10:07
★메타버스 가상부동산 임대및 광고수익성,2022.02.14 10:01
와위메이드 잡주도 뻘건디 ,2022.02.14 10:00
줍줍시간.주네,2022.02.14 09:57
오늘 신한 찍어누르려고 작정했네?,2022.02.14 09:55
위메이드때문 내렸는데 위메이드조정끝,2022.02.14 09:55
^^ 개인분들 털고 나가는 분위기! 축하드려요!,2022.02.14 09:54
날 새기전이 가장 어둡다.,2022.02.14 09:53
시바 맨날 파란불이고!!!,2022.02.14 09:53
조급한애들 많이 보이넹..,2022.02.14 09:52
ㅋㅋ 개미가사서못내린다고?,2022.02.14 09:51
팔아주는 개미가 없나보다 ㅋㅋㅋ,2022.02.14 09:49
요번에 주포가아예작정을한듯,2022.02.14 09:46
외국은 프로그램 2일째 매수,2022.02.14 09:46
호구개미들아 좋앙?ㅋㅋㅋㅋ,2022.02.14 09:45
팩트,2022.02.14 09:45
떨어져바 몰빵하면 그만이야,2022.02.14 09:44
카겜이 또 공매도 타겟된 모양이다,2022.02.14 09:44
응 안팔아 실적  좋은회사,2022.02.14 09:41
공포에 사라,2022.02.14 09:40
오늘은 기대없이 그냥 지켜봐야 할 듯,2022.02.14 09:38
어~하다가,2022.02.14 09:36
외인 대차물량없어 사고팔고하네,2022.02.14 09:33
와 ,2022.02.14 09:32
61200..???,2022.02.14 09:32
프로그램 던지기 시작했다,2022.02.14 09:31
추매준비~,2022.02.14 09:30
공매도 또 들어옵니다 홀딩하세요,2022.02.14 09:30
달다달아 아직도 롱충이들 있누,2022.02.14 09:29
석유국에서 카겜을 투자해야지,2022.02.14 09:28
이정도면,2022.02.14 09:27
슈퍼개미등장????,2022.02.14 09:26
상매도홀딩하십쇼,2022.02.14 09:25
개미가 물량 뱉게 냅두는게 남은 주주에게 좋을 듯,2022.02.14 09:25
수수료30%아끼면 대박남,2022.02.14 09:25
마지막 6 같은데,2022.02.14 09:23
누가 파나 했드만 개미가 팔고있네 ㅋㅋ,2022.02.14 09:23
구글갑질방지법 네이버 게임팟 외부결제 도입,2022.02.14 09:22
니들 파란불이라고 갖다판다고 생각하는거 아니지?ㅋㅋㅋ,2022.02.14 09:21
답답해서 또 나왔다 ㅋㅋㅋ,2022.02.14 09:19
지켜봐야할문제지 돈많은쉐기마음이라,2022.02.14 09:18
오늘 거래량 없음,2022.02.14 09:14
오딘으로 10%올랐는데,2022.02.14 09:14
전쟁 나든 말든,2022.02.14 09:13
