title,date
하루에 1퍼씩 100번 오르자,2022.02.14 13:27
갑자기 이유없이 훅 올라갈 일은 없고 있다면,2022.02.14 13:27
이러다 훅간다 알제~~,2022.02.14 13:23
며를치 무지성매수뭐임?,2022.02.14 13:22
위메이드보다,2022.02.14 13:13
역전 ㅋㅋㅋ,2022.02.14 13:13
이것들이!! 형ㅍ자로 간다카니!!,2022.02.14 13:10
도망챠~~ 개나락이다,2022.02.14 13:10
매수는 10만 아래에서... 매도는 25만 위에서...,2022.02.14 13:09
오후 음전,2022.02.14 13:09
떡하 떡하,2022.02.14 13:07
이정도 했으면….,2022.02.14 13:00
형은 개인적으로 블랙클로버.. 장르..,2022.02.14 12:58
공매도 ㅈ되게 해주세요,2022.02.14 12:57
펄어비스 검은사막 중국서비스,2022.02.14 12:53
근디 FGT 반응이 심상치 않긴혀…….,2022.02.14 12:52
공매시키들 fgt 정보 알아낸거 아녀? 블랙클로버…,2022.02.14 12:48
2분기 블랙클로버 클로즈베타..,2022.02.14 12:42
육개장 한그릇 주이소,2022.02.14 12:42
이번 이벤트 유검별은 제껍니다.,2022.02.14 12:40
8자찍히는순간 담아라,2022.02.14 12:40
근데 이정도면.. 펄업6년차 형이 보기엔..,2022.02.14 12:34
불안해서 매수했다..,2022.02.14 12:29
붉은사막 스팀1위 피시1위,2022.02.14 12:26
[속보] 붉은사막 영상 및 일정공개,2022.02.14 12:23
오늘 오르는거보니… 설마 이거?????,2022.02.14 12:22
육개장 한그릇 주이소,2022.02.14 12:19
넘 올리지마라.. 형 낼 사야댄다고 ㅠㅠㅠㅠㅠ,2022.02.14 12:19
펄게시판에 써야대는데 크래프톤에다가써부럿다 ㅠㅠㅠ,2022.02.14 12:13
내일 생각보다 덜떨어지겠네,2022.02.14 12:13
심약 공매들 2~30퍼 먹고 상환중 ㅋㅋ,2022.02.14 12:13
펄업도 돈 대줄 애들 많다,2022.02.14 12:12
사고치겠다 ,2022.02.14 12:06
아..형들 배터져 아침에들어가서,2022.02.14 12:02
국내 게임회사중에 기술력은 탑급인데,2022.02.14 12:01
비상장 스마게,2022.02.14 12:00
위메 크래프톤 오늘은 컴투스,2022.02.14 12:00
모지리들 살판났네ㅋ,2022.02.14 12:00
개미님들,2022.02.14 12:00
안티분들,2022.02.14 11:59
육개장 처먹엇슴 가라...,2022.02.14 11:53
"◆ 펄어비스 이익 성장률 1위 - 금리 요동치는 미장, 실적 따라 울고 웃는 국장. 입력: 2022.02.14 04:01",2022.02.14 11:52
내일 퐁락전에 개미들 못 도망가게 묶어두네 ㄷㄷ,2022.02.14 11:51
육개장 한그릇 주이소,2022.02.14 11:50
내일 얼마나 퐁락 시킬려고 올릴까,2022.02.14 11:42
응 올라가는척 또떨어져 ㅇㅅㅇ,2022.02.14 11:42
다른 종목들은 2 30퍼 빠지고 10퍼 더 빠지는데,2022.02.14 11:41
병삼들 떨어진게 2 30펀데 1퍼올랏다고 설레발ㅈ나치네,2022.02.14 11:40
기관 애들이 감 진짜 못잡는다...,2022.02.14 11:38
오르는데도불안하네 ㅅㅂ,2022.02.14 11:37
뭔데?,2022.02.14 11:35
때려죽여도 안팔아 ♥♥♥♥♥,2022.02.14 11:35
오늘아침에 팔았는데 주주분들 축하드립니다,2022.02.14 11:34
실적 기대감에 오르는 거겠음?,2022.02.14 11:33
메릴치와 모간이어쩐일이냐? 내일 무슨일 날거 미리 알았냐?,2022.02.14 11:30
왠일이래? 위메보다 쪼금더 잘나가고?,2022.02.14 11:28
갓어비스 날라감?,2022.02.14 11:27
실적 가지고 섀도복싱 하지마라,2022.02.14 11:25
대일이형 내일 한 번 가자,2022.02.14 11:23
내일 실적이 좋은가봐요?,2022.02.14 11:20
뿌뿌! 엔진 예열중,2022.02.14 11:19
펄어비스,2022.02.14 11:18
펄어비스 단기 반등이네,2022.02.14 11:17
붉사랑 블랙클로버가 일정이 겹치노…,2022.02.14 11:17
콴 형에 마삼 달고 양전이라니,2022.02.14 11:09
펄밖위,2022.02.14 11:08
코스닥 대폭락중인데.. 이정도면 상한가급 ㅜㅜ,2022.02.14 11:07
쥐좃만큼 오르네,2022.02.14 11:06
펄어비스는 붉사 도깨비 빨리안오면 주가방어가 안될듯,2022.02.14 11:04
이번은 공매도가 이겼다 시기적절했다 증말,2022.02.14 11:03
캬 이가격에 상환하는거 봐라,2022.02.14 11:00
아.. 머리 지그럽다 ㅠㅠㅠㅠㅠ,2022.02.14 10:57
