title,date
금요일 종가 신용풀매수,2022.02.14 08:36
아니 이걸 물량 넘기려고 친티;;;,2022.02.14 08:34
유통주식수가 없음,2022.02.14 08:27
시초 매수하면 호구맞지,2022.02.14 08:11
한번 더 알려줌,2022.02.14 08:09
네오위즈 게시판엔 기대감으로 폭발적인데.,2022.02.14 01:17
스팀 로아동접 115만~,2022.02.14 00:57
"네오위즈 주주로서 한마디 함.... 내일 시가, 종가",2022.02.14 00:21
급등전 마지막으로 말한다. 시초에 무적권 잡아야한다.,2022.02.14 00:13
동시접속률은 아무런의미없다.,2022.02.13 23:53
찬티들 너무 많아,2022.02.13 23:39
로아가 대박을 치든 쪽박을치든,2022.02.13 23:16
낼 왕갭~~ 불기둥~~~~~~~~~!!!!!!!!!!,2022.02.13 22:54
스마게지분이 12퍼가까이인데 관계사아니라고 우기는게 참 웃기다,2022.02.13 22:52
선데이토즈 관계사 맞구만,2022.02.13 22:43
알았어 관련없어 내일걍다빼 ㅋㅋ,2022.02.13 22:14
상한가gogo 조회공시해보면알지,2022.02.13 22:29
하필 이 타이밍에 위메이드에 매각이 됐냐,2022.02.13 21:36
아니 바보들인가 로아보고 이거 투자했음?,2022.02.13 21:15
로스트아크 관련주 검색해봐라,2022.02.13 20:22
낼 갭 하락 -10% 맞아봐야,2022.02.13 19:55
팩트,2022.02.13 19:13
내가 위메사장이다,2022.02.13 19:10
"선데이가이번에팔린거네,'지분정리도안되었고",2022.02.13 19:02
비나이나비나이다,2022.02.13 18:35
만약전쟁이나도 3차대전이 나겠냐 붕탁들아  국지전 흉내만내다 말겠지,2022.02.13 18:10
네오위즈 로스트아크 일본 서비스 중,2022.02.13 16:40
스게하고 전혀 관련 없다고 ,2022.02.13 15:13
rais fain supe shk4,2022.02.13 15:01
[기사] 로스트아크' 동시 접속 132만 돌파…'배그' 이어 스팀 역대 2위,2022.02.13 14:48
선반영+동접떡락+관련없음,2022.02.13 14:41
지금 당장 로스트아크 관련주 네이버에 쳐봐,2022.02.13 14:02
오늘자기사다 스게는 전혀관심없음,2022.02.13 13:55
야들아 16일 전쟁일어 난다잔여?,2022.02.13 12:20
동접자수 하락중,2022.02.13 11:48
로아랑 선데이토즈랑 관련 없다고 우기는사람,2022.02.13 10:47
디렉터가 말한 목표가 20만명이였음.,2022.02.13 10:27
설거지 세력들 꼬임에 넘어가지마라,2022.02.13 10:19
짱깨 없이 동접 130만이면 초대박이다,2022.02.13 10:14
유일한,2022.02.13 10:11
위메이드가 최대주주인회사,2022.02.13 09:58
가즈아,2022.02.13 09:38
형이 썼던 글 역주행해라,2022.02.13 09:10
와 로아 미쳐누,2022.02.13 08:35
외놈들은  비중축소 하는데,2022.02.13 07:33
스팀 로아 동접 130만 돌파~ 역대2위~,2022.02.13 05:09
역대 2위 카스 제낌,2022.02.13 04:43
"월요일 갭상, 마지막 글",2022.02.13 03:39
관련주라고 했지 뭐 같이 한다고 했냐?,2022.02.13 03:05
[기사]로아 스팀  역대 4위 동접자 수 108만 돌파,2022.02.13 02:42
불행회로 그만돌려라,2022.02.13 01:02
103만명 현시각 스팀 동접자 ,2022.02.13 00:48
100 돌파,2022.02.13 00:31
무기한 공매도,2022.02.12 23:38
쿠키런 하나로 30배 오른 데브시스터즈,2022.02.12 21:02
무식하면 용감하다더니,2022.02.12 20:55
ㅋㅋ 안티들 왜케많아?,2022.02.12 18:44
애니팡 관련주입니다 다 나가세요,2022.02.12 17:49
로아 관련주 아니라고 우기는 애들 뭐임?,2022.02.12 16:17
로아랑 선데이 엮는 사람들 대체 뭔 생각인지?,2022.02.12 13:37
북미섭 100만접속 곧,2022.02.12 12:36
근데 북미로아 퍼블리셔 어딘진 앎?,2022.02.12 11:59
하아 진짜 ㅈ같네,2022.02.12 11:34
선토가 로아 관련주 아니라고?,2022.02.12 11:12
이래서 위메이드가 인수한게 악재였던거지.,2022.02.12 10:56
종토방 보니까,2022.02.12 10:53
아직 못산 혓바닥긴 아이들이 좀많은데,2022.02.12 10:33
아니 이게 왜 로아 관련주야;;,2022.02.12 10:23
이거 로스트아크 관련주 아닙니다 다 나가세요,2022.02.12 09:54
현시각 스팀 로아동접93만 ㅎ,2022.02.12 09:27
로아 관련주 아님;;,2022.02.12 09:08
로아 북미 현재상황,2022.02.12 02:56
즐쥬 되십셔~~~~,2022.02.11 22:07
로아 관련주 아닙니다 나가주세요,2022.02.11 20:46
미안합니다,2022.02.11 20:46
위메는OOO인데 여기는폭락안함?,2022.02.11 19:39
곧 무증나오겟네,2022.02.11 19:24
다죽었네,2022.02.11 16:05
다음주 내릴걸 알기에~~~~~,2022.02.11 15:49
로아 관련주 절대 아니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2022.02.11 15:35
신용까던 친구들 ㅎㅎ,2022.02.11 15:33
"로스트아크, 오늘 정식 출시 기사.",2022.02.11 15:27
월요일 장대양봉 가쟈~~~,2022.02.11 15:20
ㅠㅠ 다털었다,2022.02.11 14:46
월요일 갭하락 나올듯...,2022.02.11 14:41
흐름이 안좋은데....,2022.02.11 14:38
슬슬 실망매물 나올시간이네,2022.02.11 14:12
이거 불길한데..,2022.02.11 14:10
글로벌 최다판매량 로아 국내도 아니고 ~^^,2022.02.11 13:57
로아가 아니라,2022.02.11 13:26
월요일에 음봉 거하게 내려주세요,2022.02.11 13:25
주가는 좀 지루하다잉,2022.02.11 13:12
원래 주식이라는게 대충엮이기만해도 관련주로묶이는거야,2022.02.11 13:11
위메이드 따까리회사,2022.02.11 13:09
40억 추가매수완료,2022.02.11 13:04
디데이는 월요일이다,2022.02.11 12:48
20억 추가입성,2022.02.11 12:33
너네는,2022.02.11 12:32
로아 찐 관련주 알려줄게,2022.02.11 12:25
위메 다 망해가는거,2022.02.11 12:19
"[기업공시 1월 13일]선데이토즈, 위메이드이노베이션으로 최대주주 변경 등 서울경제  2022.01.14 07:01",2022.02.11 12:15
로아 관련주라는 형님들께 하고 싶은 말,2022.02.11 12:10
크크크크 신용추매 나이따,2022.02.11 12:10
코인관련주입니다,2022.02.11 12:09
ㅋㅋㅋ로아 관련주 개웃기네,2022.02.11 12:08
오늘이 마지막 탈출 기회였습니다,2022.02.11 12:03
150만장이면 못해도 750억..,2022.02.11 12:02
주린이들아 금감원 전자공시시스템 들어가서,2022.02.11 12:01
아싸!전부 털었다,2022.02.11 11:57
가자,2022.02.11 11:56
[삭제된 게시물의 답글]로스트아크 해봤는데 개재미없다.,2022.02.11 12:01
괜히,2022.02.11 11:48
아마존이 뉴월드라는 게임으로,2022.02.11 11:19
탈출,2022.02.11 11:19
"어제 손절하고 맥스 샀건만,,,,",2022.02.11 11:18
스마게 vs 위메,2022.02.11 11:06
지금 북미쪽은 mmorpg게임에 엄청 목말라있어,2022.02.11 11:05
이거 사지마세요~~,2022.02.11 11:04
로아때문에 샀다면 그냥사지마 그냥,2022.02.11 11:04
아이러니 ㅋㅋ,2022.02.11 11:03
니들좀 ㄷㅊ,2022.02.11 11:02
위매,2022.02.11 10:59
어차피 로아뉴스가 주말동안 계속 나올껀데,2022.02.11 10:58
[속보] 오미크론발 중증환자 폭팔할수있다는 기사,2022.02.11 10:57
오늘,2022.02.11 10:56
월요일은 이 가격에 못 삽니다,2022.02.11 10:52
로스트아크 동시접속자 1위,2022.02.11 10:15
2만원깨진다ㅋㅋ,2022.02.11 10:10
속보>>코인 판돈으로 선토인수,2022.02.11 10:00
얘는 로아 관련주 아냐,2022.02.11 09:40
"Oh!쎈 초점] 대기만성 ‘로스트아크’, 국내 최고 RPG 우뚝… 북미 연착륙 성공하나",2022.02.11 09:11
쌍바닥,2022.02.11 09:11
금일 ,2022.02.11 08:38
위메,2022.02.11 07:42
종목 시세,2022.02.11 05:02
비젼,2022.02.10 23:24
나스닥 ㄷㄷ,2022.02.10 23:08
나스닥선물 개작살,2022.02.10 23:04
낼 위메 하한가 한번더 가면,2022.02.10 23:03
적정주가,2022.02.10 21:33
야~~  웃긴것들이네,2022.02.10 19:13
질문드립니다.,2022.02.10 18:47
"스마일게이트, 로스트아크 사전 판매 100만장…출시 전 흥행 몰이",2022.02.10 18:22
차세대 게임 대장주 썸에이지,2022.02.10 17:48
정섭아 대체 대표로 있으면서 한게 뭐냐ㅋㅋㅋ,2022.02.10 17:05
기대감,2022.02.10 16:54
간다 고고,2022.02.10 16:54
의무보유 19천주,2022.02.10 16:53
유증가 아래네,2022.02.10 16:53
ㅋㅋ 오늘 바로 제3자 유증이냐,2022.02.10 16:35
일사천리네 ,2022.02.10 16:33
길게보자,2022.02.10 16:20
새옹지마,2022.02.10 16:19
위메이드토즈 등등..이름 바꼇으면 좃될번햇네 진짜,2022.02.10 15:55
이호대 믿꼬감내다,2022.02.10 15:46
위메 악재가 상당히 길어질듯 한데,2022.02.10 15:39
ㅋㅋ 차라리 위메이드에 안넘겼으면,2022.02.10 15:24
아우 열받네 정말,2022.02.10 15:05
바지사장 임명 ㅋㅋㅋㅋ,2022.02.10 15:05
이대호를 영입햇음 상인데 아쉽네,2022.02.10 14:45
대표이사 벌써 교체된거야,2022.02.10 14:45
로스트아크 유일한 관련주,2022.02.10 14:42
신용 추매 기회,2022.02.10 14:39
위메이드악재,2022.02.10 14:28
내일부터 로스트아크의 시대가 열린다,2022.02.10 14:11
좋은 회사,2022.02.10 13:52
리픽싱 금액?,2022.02.10 13:22
쌍바닥,2022.02.10 12:45
오늘 옵션만기일이야.. OOO,2022.02.10 11:34
선데이포쥬,2022.02.10 11:34
