,Unnamed: 0,날짜,기사제목
62,13, 2021.08.12 14:18,"[이데일리N] 현대차·카카오·KT, 자율주행 위해 손잡았다…협회 설립..."
63,14, 2021.08.12 16:59,"KT, MZ세대 소통 'Y드립 시네마' 유튜브 조회수 800만 달성"
64,15, 2021.08.12 12:58,15만명 썼다…MZ세대 겨냥한 KT '게임박스' 인기
65,16, 2021.08.12 09:42,KT 게임박스 출시 1년 맞아 대작 게임 2종 새롭게 선봬
66,17, 2021.08.12 09:34,"""080 전화 한통, 간편함 통했다"" KT 콜체크인 하루 630만명 사..."
67,18, 2021.08.12 09:29,"“전화 한 통으로 쉽고 빠르게 출입등록” KT, 콜체크인 사용자 누적..."
68,19, 2021.08.12 09:10,"QR 대신 전화로 체크인…KT, 일평균 사용자 630만명 돌파"
69,20, 2021.08.12 09:02,“전화 한 통으로 출입등록” KT 콜체크인 하루 사용자 630만 돌파
70,0, 2021.08.12 12:58,15만명 썼다…MZ세대 겨냥한 KT '게임박스' 인기
71,1, 2021.08.12 09:42,KT 게임박스 출시 1년 맞아 대작 게임 2종 새롭게 선봬
72,2, 2021.08.12 11:38,"신테카바이오, KT와 손잡고 'AI슈퍼컴센터' 구축"
73,3, 2021.08.12 10:08,"신테카바이오, KT와 AI 슈퍼컴센터 구축 위한 MOU 체결"
74,4, 2021.08.12 10:06,"신테카바이오, KT와 AI슈퍼컴센터 구축 협약 체결"
75,5, 2021.08.12 10:05,"[특징주] 신테카바이오, KT와 MOU 체결 소식에 주목"
76,6, 2021.08.12 08:40,"신테카바이오-KT, AI슈퍼컴센터 구축 위한 전략적 MOU 체결"
77,7, 2021.08.12 09:34,"""080 전화 한통, 간편함 통했다"" KT 콜체크인 하루 630만명 사..."
78,8, 2021.08.12 09:29,"“전화 한 통으로 쉽고 빠르게 출입등록” KT, 콜체크인 사용자 누적..."
79,9, 2021.08.12 09:10,"QR 대신 전화로 체크인…KT, 일평균 사용자 630만명 돌파"
80,10, 2021.08.12 09:02,“전화 한 통으로 출입등록” KT 콜체크인 하루 사용자 630만 돌파
81,11, 2021.08.12 08:40,"KTB투자증권 “KT, 그룹사 포트폴리오 재편으로 강한 실적 상승 예상..."
82,12, 2021.08.12 08:03,"KT 목표가 31% 상향… ""지배구조 개편에 성장 박차""- KTB證"
83,13, 2021.08.11 18:08,'디지코'의 힘···KT 4%대 치솟아
84,14, 2021.08.11 16:27,"[증시이슈] KT, 2분기 실적 발표에 4% 상승 마감"
85,15, 2021.08.11 15:37,500일 맞은 구현모號 KT…디지털 플랫폼 진화 가속
86,16, 2021.08.11 14:05,"[특징주]KT, 장기 실적성장·긍정적 배당 전망에 '강세'"
87,17, 2021.08.11 08:51,"'깜짝실적' KT, 장기 실적 기대감·케이뱅크 가치 부각-하나"
88,18, 2021.08.11 11:28,KT는 X세대인데 삼바는 MZ세대…달라진 임직원 연령대
89,19, 2021.08.11 10:57,연속 어닝 서프라이즈 기록한 KT…증권사 목표가 줄상향
90,0, 2021.08.12 08:40,"KTB투자증권 “KT, 그룹사 포트폴리오 재편으로 강한 실적 상승 예상..."
91,1, 2021.08.12 08:03,"KT 목표가 31% 상향… ""지배구조 개편에 성장 박차""- KTB證"
92,2, 2021.08.12 08:40,"신테카바이오-KT, AI슈퍼컴센터 구축 위한 전략적 MOU 체결"
93,3, 2021.08.11 18:08,'디지코'의 힘···KT 4%대 치솟아
94,4, 2021.08.11 16:27,"[증시이슈] KT, 2분기 실적 발표에 4% 상승 마감"
95,5, 2021.08.11 15:37,500일 맞은 구현모號 KT…디지털 플랫폼 진화 가속
96,6, 2021.08.11 14:05,"[특징주]KT, 장기 실적성장·긍정적 배당 전망에 '강세'"
97,7, 2021.08.11 08:51,"'깜짝실적' KT, 장기 실적 기대감·케이뱅크 가치 부각-하나"
98,8, 2021.08.11 11:28,KT는 X세대인데 삼바는 MZ세대…달라진 임직원 연령대
99,9, 2021.08.11 10:57,연속 어닝 서프라이즈 기록한 KT…증권사 목표가 줄상향
100,10, 2021.08.11 10:15,[특징주] KT 견조한 실적 바탕으로 강세
101,11, 2021.08.11 09:16,"'깜짝 실적' KT, 3%대 오름세…""주가 우상향 한다"""
102,12, 2021.08.11 08:07,"KT, 자회사 실적 개선으로 2분기 '깜짝 실적'-KB증권"
103,0, 2021.08.11 09:16,"'깜짝 실적' KT, 3%대 오름세…""주가 우상향 한다"""
104,1, 2021.08.11 08:07,"KT, 자회사 실적 개선으로 2분기 '깜짝 실적'-KB증권"
105,2, 2021.08.11 09:06,"""KT, 변화의 성과 가시화···목표가↑"""
106,3, 2021.08.11 08:58,"흥국증권 “KT, 실적 성장으로 배당 규모 확대 기대”"
107,4, 2021.08.11 08:51,"'깜짝실적' KT, 장기 실적 기대감·케이뱅크 가치 부각-하나"
108,5, 2021.08.11 08:48,"KT, 실적 개선·우호적 주주환원책으로 주가 우상향…목표가↑-삼성증권"
109,6, 2021.08.11 08:31,"중견·대기업 1위 협업툴 플로우, kt와 함께 공공용 시장 진출"
110,7, 2021.08.11 08:30,"중견·대기업 1위 협업툴 플로우, kt와 함께 공공용 시장 진출"
111,8, 2021.08.11 08:09,"[클릭 e종목] ""KT, 압도적인 2Q 실적과 6% 배당"""
112,9, 2021.08.11 08:04,"KT, 2분기 어닝서프라이즈·배당수익률 기대…목표가↑-현대차증권"
113,10, 2021.08.11 07:17,"케이뱅크 첫 흑자, KT도 ""가상자산 탓"" 인정…질적 성장 과제는"
114,11, 2021.08.10 20:23,"2분기 호실적 낸 KT, 하반기 5G·케이뱅크 기대 ↑(종합)"
115,12, 2021.08.10 19:09,"5G·미디어가 이끈 KT 깜짝실적, 하반기도 성장 예고"
116,13, 2021.08.10 18:29,"KT, 영업익 39% 증가 ‘깜짝 실적’… ‘디지코 전략’ 먹혔다"
117,14, 2021.08.10 17:44,"""신사업·무선 쌍끌이"" KT, 2분기 영업익 4,758억으로 37분기..."
118,15, 2021.08.10 11:55,"'디지코 전환' 효과…KT, 2Q '어닝 서프라이즈'(상보)"
