title,date
주식은 끈기있는자만 먹는거다,2022.02.11 19:57
금리,2022.02.11 16:32
카뱅 이 기은보다좋타고 떠벌이는자,2022.02.11 16:07
왜 사람들은 적금을 넣을까,2022.02.11 15:49
외인들 똑똑혀,2022.02.11 14:59
완전히,2022.02.11 14:42
이 정신나간 종목은,2022.02.11 13:45
한은 2월 금리 올릴듯,2022.02.11 12:52
우금과 기은의 주가 차이,2022.02.11 11:59
같은 테마라도,2022.02.11 11:23
내가 기업은행 주주였네,2022.02.11 11:13
현대해상에서 넘어옴,2022.02.11 10:56
오를건데 왜파누?,2022.02.11 10:23
이건 왜 다른 은행주보다 움직이지 않나여?,2022.02.11 10:09
도대체 배당금이 얼마임???,2022.02.11 09:29
배당락 겨우 회복했으니까,2022.02.11 09:12
기업은행세력들 왠 공매도  를 그리때렸냐?,2022.02.11 07:51
ㅋㅋㅋ,2022.02.11 07:02
니가 하면 적폐청산! 내가하면 정치보복이냐?,2022.02.10 23:59
윤석열 정권잡으면 문재인 적폐청산!,2022.02.10 23:55
우금 블록딜과 윤종원 디스커버리,2022.02.10 23:42
기업은행스토리,2022.02.10 22:43
"[삭제된 게시물의 답글]■장하성,김상조,윤종원 디스커버리펀드 새 뇌관되나?",2022.02.10 20:32
안녕하세요 금융주 모아가려는데....,2022.02.10 19:51
지금 S사 뉴스에 디스커버리 얘기나오는데,2022.02.10 19:20
최고의실적에도,2022.02.10 18:45
자영업자 대출 손실로 증자가능성잇지않나요,2022.02.10 17:28
증자 가능성  있나요~?,2022.02.10 17:09
올해배당예상,2022.02.10 16:55
18000원,2022.02.10 16:43
와...,2022.02.10 15:21
금융주 사고픈 주린이좀 도와주세요,2022.02.10 15:05
역시 윤석열 유력해지니,2022.02.10 14:54
"차주에 52주최고가 11,600원을 넘어 \13,000원 갱신 조짐 발생",2022.02.10 14:51
ibks제12호 바이넥스가 투자했으니 그냥 끝날일은 없겠죠   마이퍼스트에셋자산운용=삼성스팩4호 최대주주 바이넥스=ibks제12호스팩  삼성스팩,2022.02.10 14:16
"월봉 추세선 14,200원이다. 아직 갈 길이 멀다~~",2022.02.10 13:35
방금 키움계좌에서 108000주,2022.02.10 13:34
월봉은 시작도 안했다.,2022.02.10 11:30
현혹돼지 마시고,2022.02.10 11:03
매도,2022.02.10 10:59
